dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,n_params,n_rank,original_expr,sympy_expr,orig_status,orig_runtime_ms,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_total_size,orig_egraph_nodes,orig_eclass_count,orig_passes,orig_extracted_cost,orig_rendered,sympy_status,sympy_runtime_ms,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,sympy_total_size,sympy_egraph_nodes,sympy_eclass_count,sympy_passes,sympy_extracted_cost,sympy_rendered
pagie,3,Bingo,Bingo,4,1,kept,9.0,6.0,(321.50462762611204)*((((-2588.281378882496)^(-1))*((x0)*(x1)) + plog((3323.2144588507704)*((x0)*(x1))) - (3.834139037636267))*(((((-2588.281378882496)^(-1))*((x0)*(x1)) + plog((3323.2144588507704)*((x0)*(x1))) - (-2588.281378882496 + 3.834139037636267 + plog(-2588.281378882496)))^(-1))*(plog(plog((3323.2144588507704)*((x0)*(x1))))))),321.50462762611204*(0.0003863567570971573*x0*x1 - log(x0*x1) - 4.2745487663580279)*log(log(x0*x1) + 8.1086878039942949)/(0.0003863567570971573*x0*x1 - log(x0*x1) - 2584.6971782746911 + I*pi),saturated,357.475625,55,10,41,6,197,208,70,2,86,(321.50462762611204 * (((4.274548766358028 + (-0.00038635675709715734 * (x0 * x1))) + log(abs((x0 * x1)))) * ((((2584.697178274691 + (-0.00038635675709715734 * (x0 * x1))) + log(abs((x0 * x1)))) ** -1.0) * log(abs((8.108687803994295 + log(abs((x0 * x1))))))))),saturated,250.124167,39,6,39,6,136,148,58,1,81,(((321.50462762611204 * ((((0.0003863567570971573 * x0) * x1) - log((x0 * x1))) - 4.274548766358028)) * log((log((x0 * x1)) + 8.108687803994295))) / (((((0.0003863567570971573 * x0) * x1) - log((x0 * x1))) - 2584.697178274691) + (I * pi)))
pagie,1,Bingo,Bingo,2,1,kept,4.0,4.0,0.04547093390683249 + (0.17516554602688977)*(plog((34.093055726490284)*((x0)*(x0)) + x1 + (-428.9738000218307)*(((x0)*(x0))*((x1)*(x1))))),0.17516554602688977*log(-428.9738000218307*x0**2*x1**2 + 34.093055726490284*x0**2 + x1) + 0.04547093390683249,saturated,342.399583,23,4,19,4,95,103,41,2,44,(0.04547093390683249 + (0.17516554602688977 * log(abs((((x0 * x0) * (34.093055726490284 + (-428.9738000218307 * (x1 * x1)))) + x1))))),saturated,281.876459,22,4,18,4,70,79,39,2,51,((0.17516554602688977 * log((((x0 ** 2.0) * (((x1 ** 2.0) * -428.9738000218307) + 34.093055726490284)) + x1))) + 0.04547093390683249)
pagie,0,Bingo,Bingo,1,1,kept,6.0,4.0,0.5240322255066139 + (-0.45351118068033663)*(plog(-54.93119319072758 + (755.3723998652232)*((plog((-2)*((x0)*((x1)^(-1))) + (-66438756992.645454)*((x0)*(x1))))^(-1)) + plog((-2)*((x0)*((x1)^(-1))) + (-66438756992.645454)*((x0)*(x1))))),0.52403222550661389 - 0.45351118068033663*log(log(-x0*(66438756992.645454*x1 + 2/x1)) - 54.93119319072758 + 755.3723998652232/log(-x0*(66438756992.645454*x1 + 2/x1))),saturated,364.997125,43,8,37,7,191,208,87,2,93,(0.5240322255066139 + (-0.45351118068033663 * log(abs(((-54.238046010167636 + log(abs((x0 * ((x1 ** -1.0) + (33219378496.322727 * x1)))))) + (755.3723998652232 * ((log(abs((x0 * ((x1 ** -1.0) + (33219378496.322727 * x1))))) + 0.6931471805599453) ** -1.0))))))),saturated,413.185334,34,10,28,7,92,102,49,2,69,(0.5240322255066139 + (-0.45351118068033663 * log(((-30.011646777931055 + log((((-3.010291117007793e-11 / x1) - x1) * x0))) + (755.3723998652232 / log((-66438756992.645454 * (x0 * (x1 + (3.010291117007793e-11 / x1))))))))))
pagie,4,Bingo,Bingo,5,1,kept,3.0,3.0,-0.7617093798419142 + (0.3424256684358176)*(plog((x1)*((249.92555522398015)*(x0) + ((x1)^(-2))*(plog(x0)) - (x0 + x1)))),0.3424256684358176*log((x1**2*(248.92555522398015*x0 - x1) + log(x0))/x1) - 0.7617093798419142,saturated,238.088541,23,3,23,3,70,77,38,1,49,(-0.7617093798419142 + (0.3424256684358176 * log(abs((x1 * (((249.92555522398015 * x0) + ((x1 ** -2.0) * log(abs(x0)))) - (x0 + x1))))))),saturated,268.909167,19,3,19,3,61,71,40,1,44,((0.3424256684358176 * log(((((x1 ** 2.0) * ((248.92555522398015 * x0) - x1)) + log(x0)) / x1))) - 0.7617093798419142)
pagie,6,Bingo,Bingo,7,1,kept,6.0,4.0,(0.33963694568414915)*(plog((-35.167844692926785)*(((-1)*(((2)^(-1))*((1.1727867299483856)^(-1))))*((x0)*((58.20319882282552 + x0)*(x1))) + plog(x1)))) - (1.1727867299483856),0.33963694568414915*log(14.993282152192549*x0*x1*(x0 + 58.20319882282552) - 35.167844692926785*log(x1)) - 1.1727867299483856,saturated,289.170917,29,7,19,4,98,104,36,2,43,(0.33963694568414915 * (0.10707222600206379 + log(abs(((-0.42633497398286985 * (x0 * ((58.20319882282552 + x0) * x1))) + log(abs(x1))))))),saturated,276.775708,19,5,17,4,62,70,35,2,41,(0.33963694568414915 * (-0.7454576917979261 + log(((((x0 + 58.20319882282552) * x1) * x0) + (-2.3455734598967712 * log(x1))))))
pagie,7,Bingo,Bingo,8,1,kept,5.0,5.0,(0.3219453819768659)*(4.881341193040894 + (0.006998797255225593)*(x0) + (-3.3010592991000216)*(exp((-0.7560873364652252)*((x0)*(x0)))) + plog(x1)),0.002253230455712244*x0 + 0.3219453819768659*log(x1) + 1.571525254952961 - 1.0627607969770417*exp(-0.7560873364652252*x0**2),saturated,269.242458,20,5,20,5,104,114,50,2,49,(0.3219453819768659 * (((0.006998797255225593 * (x0 + 697.4542932210649)) + (-3.3010592991000216 * exp((-0.7560873364652252 * (x0 * x0))))) + log(abs(x1)))),saturated,315.563708,19,5,19,5,762,790,203,1,52,((((0.002253230455712244 * x0) + (0.3219453819768659 * log(x1))) + 1.571525254952961) - (1.0627607969770416 * exp((-0.7560873364652252 * (x0 ** 2.0)))))
pagie,5,Bingo,Bingo,6,1,kept,8.0,5.0,0.2033733319566922 + (0.0885895005060784)*(plog(((520439.72713022487)*(((x0)*(x0))*((28890.10432966032 + x0)^(-1))) + (-165.43872587343168)*(((x0)*(x0))*((x1)*(x1))) - (x1))*((520439.72713022487)*(((x0)*(x0))*((28890.10432966032 + x0)^(-1))) + (-165.43872587343168)*(((x0)*(x0))*((x1)*(x1))) - (x1)))),0.0885895005060784*log((-x0**2 + x1*(x0 + 28890.10432966032)*(0.00031788258514714704*x0**2*x1 + 1.9214520872842191e-6))**2/(3.461392830531733e-5*x0 + 1)**2) + 0.71562882269299686,saturated,337.813709,53,8,45,8,158,169,63,2,107,(0.2033733319566922 + (0.0885895005060784 * log(abs(((((x0 * x0) * ((520439.72713022487 * ((28890.10432966032 + x0) ** -1.0)) + (-165.43872587343168 * (x1 * x1)))) - x1) * (((x0 * x0) * ((520439.72713022487 * ((28890.10432966032 + x0) ** -1.0)) + (-165.43872587343168 * (x1 * x1)))) - x1)))))),saturated,798.467417,36,8,34,7,154,167,66,2,95,((0.0885895005060784 * log((((((x1 * (x0 + 28890.10432966032)) * (((0.00031788258514714706 * (x0 ** 2.0)) * x1) + 1.921452087284219e-06)) - (x0 ** 2.0)) ** 2.0) / (((3.461392830531733e-05 * x0) + 1.0) ** 2.0)))) + 0.7156288226929969)
pagie,8,Bingo,Bingo,9,1,kept,7.0,5.0,(-0.0016845463969705932)*((plog(x1 + (-5504.7494866201905)*((x0)*(x1))))*(35.98329321843688 + (-0.17812022427202742)*(35.98329321843688 + x0) + (-12.262360262937122)*(plog(x1 + (-5504.7494866201905)*((x0)*(x1)))))),(0.00030005178202503779*x0 + 0.020656514799286105*log(x1*(1 - 5504.7494866201905*x0)) - 0.049818675688932783)*log(x1*(1 - 5504.7494866201905*x0)),saturated,290.009917,31,7,27,5,65,71,31,2,59,((0.020656514799286103 * (log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))) + (0.014525769953961822 * (-166.03359377740895 + x0)))) * log(abs((x1 + (-5504.7494866201905 * (x0 * x1)))))),saturated,319.691417,25,7,23,6,94,103,45,2,58,((0.020656514799286103 * ((6.2016007537634605 + log((x1 * (0.00018166130946205522 - x0)))) + (0.014525769953961822 * x0))) * log((x1 * (-5504.7494866201905 * (x0 + -0.00018166130946205522)))))
pagie,9,Bingo,Bingo,10,1,kept,5.0,4.0,(-1647.7560776017172)*((plog(x1 + (-5504.7201863492755)*((x0)*(x1))))*(3.021827100299453e-05 + (-1.2535194814297265e-05)*(plog(x1 + (-5504.7201863492755)*((x0)*(x1)))))),(0.020654943439179847*log(x1*(1 - 5504.7201863492755*x0)) - 0.049792339699799975)*log(x1*(1 - 5504.7201863492755*x0)),saturated,335.017042,25,5,23,4,56,61,26,2,49,((0.020654943439179847 * (log(abs((x1 + (-5504.7201863492755 * (x0 * x1))))) + -2.410674221714407)) * log(abs((x1 + (-5504.7201863492755 * (x0 * x1)))))),saturated,396.142750,21,6,19,5,67,74,34,2,48,((0.020654943439179847 * (6.202686997149495 + log((x1 * (0.0001816622764005011 - x0))))) * log((x1 * (-5504.7201863492755 * (x0 + -0.0001816622764005011)))))
pagie,10,Bingo,Bingo,11,1,kept,5.0,5.0,1.1892515725526536 + (-1.529035305818532 + exp(plog((x0)*(x1))))*(0.2778146070096167 + (6.532680622052586e-05)*(x0) + (-0.07902303898937542)*(plog((x0)*(x1)))),(x0*x1 - 1.529035305818532)*(6.532680622052586e-5*x0 - 0.07902303898937542*log(x0*x1) + 0.2778146070096167) + 1.1892515725526536,saturated,356.751542,24,5,22,5,162,175,68,2,52,(1.1892515725526536 + ((-1.529035305818532 + abs((x0 * x1))) * ((0.2778146070096167 + (6.532680622052586e-05 * x0)) + (-0.07902303898937542 * log(abs((x0 * x1))))))),saturated,377.662792,20,5,20,5,158,171,65,2,50,((((x0 * x1) + -1.529035305818532) * (((6.532680622052586e-05 * x0) + (-0.07902303898937542 * log((x0 * x1)))) + 0.2778146070096167)) + 1.1892515725526536)
