dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_n_params,source_before_nodes,n_rank,after_params,rank_gap,source_orig_parsed_expr,rendered,small_long_backoff_probe_status,small_long_backoff_probe_after_params,small_no_backoff_probe_status,small_no_backoff_probe_after_params,big_probe_status,big_probe_after_params,big_probe_runtime_ms,big_probe_peak_rss_mb,manual_classification,current_rules_outcome,manual_reason,agent_status,agent_id,conclusion_kind,new_rule_family,proposed_rule,proof_summary,domain_notes,remaining_gap_notes
kotanchek,173,SBP,24,original,SBP,7.0,29.0,4.0,5.0,1.0,-8.689343 - 0.039334 * (x0 - x1 + (15.347 - (11.471 * (x0 + 19.197) + x0 * x0)) + (-19.039 - (x0 - 7.988) * (x0 * x0))),0.039334 * (x0 * ((x0 - 7.988) * x0 + x0) + -201.87275573295364 + -11.471 * (-17.85910443727661 - x0) - (x0 - x1)),ok,4.0,ok,4.0,ok,4.0,356.22233399772085,127.921875,current_rules_can_reduce_with_more_budget,improved,"A longer current-rules probe reduced params; no new rule is needed for this row, just more budget or a better schedule.",done,019dab5d-16dc-7b33-83e9-c29953900bc8,existing_rules_more_iterations,existing_rules_only,"none; current basic_rules already contains a*x + b -> a*(x + b/a), which applies with a=-11.471, x=(-17.85910443727661 - x0), and b=-201.87275573295364.","Default extraction stops with an affine constant outside the scaled term. Existing rule rewrites -201.87275573295364 + -11.471*(-17.85910443727661 - x0) to -11.471*(-0.2605728591270484 - x0), giving four counted floats: 0.039334, 7.988, -11.471, -0.2605728591270484. Longer current-rules probes already reach after_params=4, matching n_rank=4.","Pure real polynomial/affine arithmetic; no log, sqrt, exp, or denominator condition introduced. Division by a is guarded by a=-11.471 nonzero finite.","No algebraic rule gap remains. The issue is default search budget/scheduling, not missing rules or rank artifact."
kotanchek,8,Bingo,8,sympy,Bingo,5.0,21.0,2.0,5.0,3.0,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),ok,5.0,ok,5.0,ok,5.0,29.87666701665148,110.234375,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families.",done,019da9a7-9c78-7a72-92c7-21bb0d650e11,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Writing E=-a*x1*exp(-x0)*(x0^2+x0*b*(g*x1-1)^2-d*x0-e), expansion yields five independent coefficient directions. Since a,b,g are nonzero, the coefficients generically recover a,g,b,d,e; no sound 2-param rewrite is evident.","Real x0,x1; exp(-x0) total/nonzero. No log/sqrt/division side conditions.",Square recentering or expansion changes syntax but not count; n_rank=2 likely finite-data/numerical rank or counting artifact.
pagie,151,SBP,2,original,SBP,5.0,30.0,2.0,5.0,3.0,0.166642 - 0.018385 * (x0 * x1 + ((-5.488 + x1) * (x1 + 0.546) + x1) * x1 + x0 * x0 + exp(-13.828 * x0)),0.166642 - 0.018385 * (x1 * ((-5.488 + x1) * (x1 + 0.546) + x1 + x0) + x0 * x0 + exp(-13.828 * x0)),ok,5.0,ok,5.0,ok,5.0,55.64199999207631,110.75,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families.",done,019da9b4-6037-71f3-8919-7e151555c852,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none reducing params; polynomial expansion/normalization only improves shape,"Current rules factor x1 but do not expand/canonicalize polynomial products. Expanding gives A - B*(x0*x1+x0^2+x1^3+(C+D+1)*x1^2+C*D*x1+exp(E*x0)). Effective invariants A,-B,-B*(C+D+1),-B*C*D,E are locally independent when B!=0,C!=D.",Pure polynomial/exp over reals; integer literals introduced by expansion do not count.,n_rank=2 needs external data/domain constraints; rewrite-only reduction to two params would be unsound generically.
kotanchek,26,Bingo,26,sympy,Bingo,6.0,21.0,5.0,6.0,1.0,(((0.5185123293134022 * x0 + 0.13470217521610287) * (0.0008622481242864235 * exp(x0) - 2.0 * log(x0 + exp(x0))) - 0.11848913269441189 * exp(x0)) * (0.6964203985908678 * exp(x0) - 2.0 * log(x0 + exp(x0))) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0),(0.23697826538882377 * (log(x0 + exp(x0)) + -0.3482101992954339 * exp(x0)) * (exp(x0) + 8.752065569602333 * (x0 + 0.25978586737652176) * (log(x0 + exp(x0)) + -0.00043112406214321176 * exp(x0))) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0),ok,6.0,ok,6.0,ok,6.0,1303.109916014364,165.3125,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families.",done,019da9c0-e1e7-7fa3-bad5-b42d5d6406a7,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none reducing params; optional exp product/cancellation cleanup,"Current rules cannot combine exp factors or distribute exp(-2*x0), but normalized z=exp(-x0)*log(x0+exp(x0)) form is f + A*(z-q)*((x0+s)*(z-t)+u), with six locally independent floats A,s,t,q,u,f.",Requires x0+exp(x0)>0 for log; exp normalization is domain-safe but not count-reducing. Integer 2/-2 not counted.,n_rank=5 likely rank artifact or different convention; no sound five-param tree target found.
kotanchek,155,SBP,6,sympy,SBP,6.0,26.0,4.0,5.0,1.0,-0.025139 * x0 ** 2.0 - 0.025139 * x1 ** 2.0 + 0.18653138 * x1 - 0.0251390000196031 * exp(0.586 * x1) + 0.188863171,-0.025139 * (x0 ** 2.0 + x1 ** 2.0) + 0.18653138 * x1 + -0.0251390000196031 * exp(0.586 * x1) + 0.188863171,ok,5.0,memory_limit,na,ok,5.0,13481.281250016764,802.609375,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families.",done,pending,new_rule_reduces_to_rank,tolerance_coefficient_snapping,"For finite nonzero coefficient a, finite coefficient b, arbitrary Num terms x and y, and integer-valued literal k, if abs(b-k*a)<=CONST_MERGE_TOLERANCE or abs(b/a-k)<=relative_tolerance, rewrite a*x + b*y -> a*(x+k*y) and a*x - b*y -> a*(x-k*y).","Current exact factoring cannot equate -0.0251390000196031 with -0.025139; factoring would introduce ratio 1.0000000007797882, counted as a float. Difference is 1.96e-11 below CONST_MERGE_TOLERANCE. Snapping the exp coefficient to -0.025139 lets existing rules extract -0.025139*(exp(0.586*x1)+x0**2+x1**2-7.42*x1)+0.188863171, reducing 5->4.","Approximate, not exact algebraic identity. Needs explicit tolerance policy, finite/nonzero guards, representative-choice rules, and regression tests. Integer-valued literals like 1.0/2.0 not counted.","Reaches rank via approximate coefficient snapping; not a rank artifact, but not exact rewrite semantics either."
pagie,165,SBP,15,original,SBP,6.0,26.0,4.0,5.0,1.0,1.139001 + 0.01085 * ((x0 * x0 - (-6.659 + x0)) * (-12.488 + x0) - (13.571 - (exp(x0) - x0) - (x1 * 14.814 - exp(x1)))),0.01085 * (91.40605069124423 + (exp(x0) - x0 + (x0 * x0 + 6.659 - x0) * (-12.488 + x0)) + (x1 * 14.814 - exp(x1))),ok,5.0,ok,5.0,ok,5.0,87.64841698575765,113.390625,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families.",done,pending,needs_many_params_or_rank_artifact,no_rank_reducing_rule,No exact rank-reducing rewrite. Optional guarded polynomial collection only normalizes shape.,"Current rules fold constants and factor outer scale to 0.01085*(91.40605069124423 + ...). Expanding inside scale yields a*(g + r2*x0^2 + r1*x0 + r5*x1 + r0), with independent functions g=x0^3+exp(x0)-exp(x1), x0^2, x0, x1, and 1. The five counted floats 0.01085, 91.40605069124423, 6.659, -12.488, 14.814 are independent; no second exact dependency justifies n_rank=4.","Polynomial arithmetic and exp only; exact over all real x0,x1 and finite constants. If dividing by outer scale during normalization, guard scale != 0.","n_rank=4 likely finite-data/numerical rank, external convention, or approximate/tolerance issue rather than sound exact rewrite."
kotanchek,172,SBP,23,original,SBP,6.0,28.0,3.0,4.0,1.0,1289016.678435 - 0.009565 * ((x0 + x0) * x0 + (exp(18.719) - (x1 + x1 - exp(x1) + (-7.155 + (8.072 - x0 + 7.155) * x1)))),0.009565 * (4695.615595638752 + (x1 + x1) - exp(x1) + (8.072 - x0 + 7.155) * x1 - (x0 + x0) * x0),ok,4.0,ok,4.0,ok,4.0,125.94225097564048,114.515625,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families.",done,pending,new_rule_reduces_to_rank,affine_constant_collection,"For finite f64 constants af and bf with finite af + bf, where a = Num(af), b = Num(bf): rewrite((a - x) + b).to((a + b) - x). A useful symmetric companion is rewrite(b + (a - x)).to((a + b) - x). The rule is general over any Num x and guarded to avoid NaN/Inf constant-folding edge cases.","Current rules fold adjacent Num(a)+Num(b) and rewrite x-a to x+-a, but do not collect constants split across symbolic subtraction in (a - x) + b. The baseline keeps (8.072 - x0 + 7.155)*x1, so 8.072 and 7.155 remain separate params. Applying affine collection gives (15.227 - x0)*x1 and reaches 0.009565*(4695.615595638752 + (x1+x1) - exp(x1) + (15.227-x0)*x1 - (x0+x0)*x0), with three non-integer floats, matching n_rank=3. Larger current-rule budgets did not change the 4-param extraction.",Counted parameters are non-integer floats. Integer-valued literals and duplicated variables such as x1+x1 or x0+x0 are not parameter-counting terms. exp(18.719) is already handled by current constant folding and participates in the folded 4695.615595638752 constant.,"No rank artifact needed; the missing degree is localized to one affine constant-collection pattern. Broader coverage may need related variants such as a+(b-x), (x+a)-b, or nested additive reassociation."
pagie,172,SBP,22,original,SBP,6.0,29.0,4.0,6.0,2.0,0.179028 - 0.00963 * (exp(x0 * -15.767) + (exp(x1) - ((x0 + (x0 + x0) - 18.776) * x0 + 18.776) * x0 + -14.972 * x1)),0.00963 * (18.590654205607475 - exp(x1) + ((x0 + (x0 + x0) - 18.776) * x0 + 18.776) * x0 - (exp(x0 * -15.767) + -14.972 * x1)),ok,6.0,ok,6.0,ok,6.0,49.58733299281448,110.25,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families.",done,pending,new_rule_partial_reduction,affine_duplicate_collection,"Add guarded affine-duplicate collection such as ((u - Num(a))*v + Num(a)) -> u*v + Num(a)*(1.0 - v), with commuted addition/surrounding-context variants. Guard on finite a and profitability/no ParamCost increase; one-way/non-subsuming to avoid expansion churn.","Current top-level factoring gives 0.00963*(18.590654205607475 - S), but binary rules do not globally collect affine/Horner duplicates like ((u-a)*v+a). Applying the rule with u=x0+(x0+x0), a=18.776, v=x0 reduces the two 18.776 occurrences to one. Result still has five non-integer floats: 0.00963, 18.590654205607475, -15.767, 18.776, and -14.972.","Exact polynomial identity; no division/log/sqrt domain conditions. Non-integer floats count; 1.0/2.0/3.0 are structural. Independence assumes nonzero scale and open x0,x1 domain.",Partial only. The remaining five directions appear independent; n_rank=4 is likely finite-sample/numerical rank artifact or external counting convention after this partial reduction.
pagie,163,SBP,13,sympy,SBP,6.0,33.0,4.0,5.0,1.0,-0.08391322 * x0 ** 2.0 + 0.11393234 * x0 + 0.15719644 * x1 + 0.01063 * exp(x0) - 0.01063 * exp(x1) + 0.103875,-0.01063 * (exp(x1) - exp(x0)) + (-0.08391322 * x0 ** 2.0 + 0.11393234 * x0 + 0.15719644 * x1) + 0.103875,ok,5.0,memory_limit,na,ok,5.0,24709.375375008676,768.109375,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families.",done,pending,new_rule_reduces_to_rank,coefficient_lattice_factoring,"On a flattened additive sum, rewrite c*t + a*p + b*q to a*(p + m*t) + b*(q + n*t) when a,b != 0, m,n are small integer-valued literals, and c is within tolerance of m*a+n*b; also allow c*t+b*q -> b*(q+k*t+d*t) when d ~= c/b-k. Guard by ParamCost decrease and bounded integer offsets.","Current rules already factor the equal-and-opposite exp coefficients into -0.01063*(exp(x1)-exp(x0)); the remaining relation is coefficient-lattice, not local cancellation. Identities: 0.08391322=0.01063*7.894, 0.15719644=0.01063*(2*7.894-1), 0.11393234=0.01063*7.894*(1+0.3577400557385356). Equivalent target c0 + a*((exp(x0)-exp(x1)-x1) + r*((x0+x1-x0*x0)+(x1+d*x0))) has four non-integer params: 0.103875, 0.01063, 7.894, 0.3577400557385356.","No domain issue beyond normal arithmetic. Integer-valued offsets/exponent 2.0 are structural; non-integer floats count. Basis terms are independent, so equivalence is checked by coefficient matching.",Likely needs a flattened affine/polynomial collector rather than purely binary local rewrite. Tolerance and bounded integer offsets are critical to avoid search explosion.
kotanchek,20,Bingo,20,sympy,Bingo,6.0,34.0,4.0,5.0,1.0,((0.1263993583106448 - 0.03309619870833754 * x0) * exp(x0 ** 2.0) + 0.03309619870833754 * (x0 ** 2.0 + 0.03907279509253594) * (7.53747357012547 * x1 + 15.272972634101004)) * exp(-1.0 * x0 ** 2.0),((0.1263993583106448 + -0.03309619870833754 * x0) * exp(x0 ** 2.0) + 0.24946172303571493 * ((x0 ** 2.0 + 0.03907279509253594) * (x1 + 2.026272131107024))) * exp(-1.0 * x0 ** 2.0),ok,5.0,memory_limit,na,ok,5.0,12676.476666005328,614.125,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families.",done,pending,needs_many_params_or_rank_artifact,exp_product_or_quotient_normalization,"No param-reducing rule for this row. Optional cleanup: ((u*exp(t)+v)*exp(s)) -> u + v*exp(s) when t+s is known/equivalent to 0, or exp(t)*exp(s)->1 under inverse-exponent guard. Non-subsuming/profitability guarded because it reduces shape but not params here.","Current rules lack reverse distribution of outer exp(-x0**2) through a sum and exp(t)*exp(-t) cancellation. Applying that cleanup to ((A-B*x0)*exp(t)+H*(t+C)*(x1+G))*exp(-t) gives A-B*x0+H*(t+C)*(x1+G)*exp(-t), but the non-integer floats remain A,B,H,C,G: five parameters. Independence: x1 coefficient H*(t+C)*exp(-t) determines H,C; then x1-free terms determine A,B,G over an open x0 interval.",exp is total/nonzero; cancellation needs inverse-exponent guard. Exponent literals 2.0 and -1.0 are structural; five non-integer floats remain parameters.,"Rank target likely numerical/local rank or restricted-sample artifact. Longer current-rule probes stayed at five; missing exp cancellation improves nodes, not param count."
