dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_n_params,source_before_nodes,n_rank,after_params,rank_gap,source_orig_parsed_expr,rendered,small_long_backoff_probe_status,small_long_backoff_probe_after_params,small_no_backoff_probe_status,small_no_backoff_probe_after_params,big_probe_status,big_probe_after_params,big_probe_runtime_ms,big_probe_peak_rss_mb,manual_classification,current_rules_outcome,manual_reason
kotanchek,173,SBP,24,original,SBP,7.0,29.0,4.0,5.0,1.0,-8.689343 - 0.039334 * (x0 - x1 + (15.347 - (11.471 * (x0 + 19.197) + x0 * x0)) + (-19.039 - (x0 - 7.988) * (x0 * x0))),0.039334 * (x0 * ((x0 - 7.988) * x0 + x0) + -201.87275573295364 + -11.471 * (-17.85910443727661 - x0) - (x0 - x1)),ok,4.0,ok,4.0,ok,4.0,356.22233399772085,127.921875,current_rules_can_reduce_with_more_budget,improved,"A longer current-rules probe reduced params; no new rule is needed for this row, just more budget or a better schedule."
kotanchek,8,Bingo,8,sympy,Bingo,5.0,21.0,2.0,5.0,3.0,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),ok,5.0,ok,5.0,ok,5.0,29.87666701665148,110.234375,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,151,SBP,2,original,SBP,5.0,30.0,2.0,5.0,3.0,0.166642 - 0.018385 * (x0 * x1 + ((-5.488 + x1) * (x1 + 0.546) + x1) * x1 + x0 * x0 + exp(-13.828 * x0)),0.166642 - 0.018385 * (x1 * ((-5.488 + x1) * (x1 + 0.546) + x1 + x0) + x0 * x0 + exp(-13.828 * x0)),ok,5.0,ok,5.0,ok,5.0,55.64199999207631,110.75,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
kotanchek,26,Bingo,26,sympy,Bingo,6.0,21.0,5.0,6.0,1.0,(((0.5185123293134022 * x0 + 0.13470217521610287) * (0.0008622481242864235 * exp(x0) - 2.0 * log(x0 + exp(x0))) - 0.11848913269441189 * exp(x0)) * (0.6964203985908678 * exp(x0) - 2.0 * log(x0 + exp(x0))) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0),(0.23697826538882377 * (log(x0 + exp(x0)) + -0.3482101992954339 * exp(x0)) * (exp(x0) + 8.752065569602333 * (x0 + 0.25978586737652176) * (log(x0 + exp(x0)) + -0.00043112406214321176 * exp(x0))) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0),ok,6.0,ok,6.0,ok,6.0,1303.109916014364,165.3125,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
kotanchek,155,SBP,6,sympy,SBP,6.0,26.0,4.0,5.0,1.0,-0.025139 * x0 ** 2.0 - 0.025139 * x1 ** 2.0 + 0.18653138 * x1 - 0.0251390000196031 * exp(0.586 * x1) + 0.188863171,-0.025139 * (x0 ** 2.0 + x1 ** 2.0) + 0.18653138 * x1 + -0.0251390000196031 * exp(0.586 * x1) + 0.188863171,ok,5.0,memory_limit,na,ok,5.0,13481.281250016764,802.609375,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,165,SBP,15,original,SBP,6.0,26.0,4.0,5.0,1.0,1.139001 + 0.01085 * ((x0 * x0 - (-6.659 + x0)) * (-12.488 + x0) - (13.571 - (exp(x0) - x0) - (x1 * 14.814 - exp(x1)))),0.01085 * (91.40605069124423 + (exp(x0) - x0 + (x0 * x0 + 6.659 - x0) * (-12.488 + x0)) + (x1 * 14.814 - exp(x1))),ok,5.0,ok,5.0,ok,5.0,87.64841698575765,113.390625,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
kotanchek,172,SBP,23,original,SBP,6.0,28.0,3.0,4.0,1.0,1289016.678435 - 0.009565 * ((x0 + x0) * x0 + (exp(18.719) - (x1 + x1 - exp(x1) + (-7.155 + (8.072 - x0 + 7.155) * x1)))),0.009565 * (4695.615595638752 + (x1 + x1) - exp(x1) + (8.072 - x0 + 7.155) * x1 - (x0 + x0) * x0),ok,4.0,ok,4.0,ok,4.0,125.94225097564048,114.515625,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,172,SBP,22,original,SBP,6.0,29.0,4.0,6.0,2.0,0.179028 - 0.00963 * (exp(x0 * -15.767) + (exp(x1) - ((x0 + (x0 + x0) - 18.776) * x0 + 18.776) * x0 + -14.972 * x1)),0.00963 * (18.590654205607475 - exp(x1) + ((x0 + (x0 + x0) - 18.776) * x0 + 18.776) * x0 - (exp(x0 * -15.767) + -14.972 * x1)),ok,6.0,ok,6.0,ok,6.0,49.58733299281448,110.25,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,163,SBP,13,sympy,SBP,6.0,33.0,4.0,5.0,1.0,-0.08391322 * x0 ** 2.0 + 0.11393234 * x0 + 0.15719644 * x1 + 0.01063 * exp(x0) - 0.01063 * exp(x1) + 0.103875,-0.01063 * (exp(x1) - exp(x0)) + (-0.08391322 * x0 ** 2.0 + 0.11393234 * x0 + 0.15719644 * x1) + 0.103875,ok,5.0,memory_limit,na,ok,5.0,24709.375375008676,768.109375,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
kotanchek,20,Bingo,20,sympy,Bingo,6.0,34.0,4.0,5.0,1.0,((0.1263993583106448 - 0.03309619870833754 * x0) * exp(x0 ** 2.0) + 0.03309619870833754 * (x0 ** 2.0 + 0.03907279509253594) * (7.53747357012547 * x1 + 15.272972634101004)) * exp(-1.0 * x0 ** 2.0),((0.1263993583106448 + -0.03309619870833754 * x0) * exp(x0 ** 2.0) + 0.24946172303571493 * ((x0 ** 2.0 + 0.03907279509253594) * (x1 + 2.026272131107024))) * exp(-1.0 * x0 ** 2.0),ok,5.0,memory_limit,na,ok,5.0,12676.476666005328,614.125,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
