dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,n_rank,before_params,after_params,rank_gap,simpl_parsed_n_params,parsed_rank_gap,runtime_ms,peak_rss_mb,passes,egraph_total_size,egraph_nodes,eclass_count,extracted_cost,rendered
pagie,25,Bingo,25,sympy,Bingo,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),3.0,18.0,2.0,3.0,3.0,1.0,3.0,1.0,96.8623750086408,118.9375,1.0,46.0,na,na,14.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912))
pagie,25,Bingo,25,original,Bingo,exp(-2.377396411352944 * ((-10.503285479940024 - log(abs(0.14985143797609368 * x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1))))),4.0,16.0,2.0,4.0,4.0,2.0,4.0,2.0,99.16262500337324,118.21875,1.0,47.0,na,na,20.0,exp(-2.377396411352944 * ((-10.503285479940024 - log(abs(0.14985143797609368 * x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1)))))
pagie,167,SBP,17,original,SBP,-0.065845 - 0.048266 * (x0 - (x1 + x1) - (x1 + (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1))),4.0,27.0,3.0,4.0,4.0,1.0,4.0,1.0,234.34704198734835,120.296875,2.0,390.0,na,na,29.0,-0.065845 - 0.048266 * (x0 - x1 - x1 - x1 - (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1))
pagie,171,SBP,21,original,SBP,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 - x1 * -0.703 - x0)),4.0,31.0,2.0,4.0,4.0,2.0,4.0,2.0,1763.5103329957929,162.828125,2.0,620.0,na,na,20.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 + x1 * -0.703 * (-4.674 + x1))
pagie,171,SBP,21,sympy,SBP,0.006351 * exp(-1.0 * x0 ** 2.0 + 2.0 * x0 - 0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,4.0,35.0,2.0,4.0,4.0,2.0,4.0,2.0,1802.806416992098,153.90625,2.0,5699.0,na,na,22.0,0.006351 * exp(2.0 * x0 - x0 ** 2.0 + -0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119
pagie,175,SBP,25,sympy,SBP,(0.00540440450573385 * x1 ** 2.0 * (x1 - 6.944) * (x1 - 4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 - 1.0))) * exp(x0 * (1.0 - x0)),4.0,36.0,2.0,4.0,4.0,2.0,4.0,2.0,475.6895829923451,132.484375,2.0,1877.0,na,na,32.0,(0.00540440450573385 * x1 ** 2.0 * (x1 + -6.944) * (x1 + -4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 + -1.0))) * exp(x0 * (1.0 - x0))
pagie,24,Bingo,24,sympy,Bingo,0.2866350699692545 * log(x0 * x1) - 0.1177641535011456 * log(-4625426.158330705 / log(0.5182334989833757 / x1)) + 2.988374508357782,5.0,16.0,3.0,5.0,5.0,2.0,5.0,2.0,1180.3524999995716,143.015625,2.0,5700.0,na,na,18.0,0.2866350699692545 * log(x0 * x1) + -0.1177641535011456 * log(-4625426.158330705 / (-0.65732936805086 - log(x1))) + 2.988374508357782
kotanchek,14,Bingo,14,sympy,Bingo,(0.0506336679649604 * x1 + 0.008870475378536939) * log(2.0 * x1 - 9.541496629390634) / (-1.0 * x0 + 0.3460574947000204 * exp(x0) + 0.35735928587754767),5.0,18.0,3.0,5.0,5.0,2.0,5.0,2.0,3008.655874989927,174.25,2.0,5696.0,na,na,21.0,0.0506336679649604 * (x1 + 0.1751892709940647) * log(2.0 * (x1 + -4.770748314695317)) / (0.35735928587754767 - x0 + exp(x0) / 2.889693231082451)
kotanchek,14,Bingo,14,original,Bingo,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1))),5.0,20.0,3.0,5.0,5.0,2.0,5.0,2.0,1945.4557500139344,172.140625,2.0,10608.0,na,na,24.0,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3573592858775476 + -0.3460574947000204 * exp(x0)) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1)))
kotanchek,8,Bingo,8,sympy,Bingo,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),5.0,21.0,2.0,5.0,5.0,3.0,5.0,3.0,2809.750417014584,181.921875,2.0,12291.0,na,na,24.0,-0.11720391936222797 * x1 * (x0 * (x0 + 0.6667403548542733 * (x1 - 1.3864562418418644) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0)
