dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,n_rank,before_params,after_params,rank_gap,simpl_parsed_n_params,parsed_rank_gap,runtime_ms,peak_rss_mb,passes,egraph_total_size,egraph_nodes,eclass_count,extracted_cost,rendered
pagie,25,Bingo,25,sympy,Bingo,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),3.0,18.0,2.0,3.0,3.0,1.0,3.0,1.0,42.48487501172349,105.234375,1.0,28.0,na,na,14.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912))
pagie,25,Bingo,25,original,Bingo,exp(-2.377396411352944 * ((-10.503285479940024 - log(abs(0.14985143797609368 * x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1))))),4.0,16.0,2.0,4.0,3.0,1.0,3.0,1.0,66.83954101754352,100.171875,2.0,51.0,na,na,18.0,exp(-2.377396411352944 * ((-8.605174590777912 - log(abs(x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1)))))
pagie,110,GOMEA,21,original,GP-GOMEA,1.950389 - 1.108799 * (exp(exp(-6.234) - x0 * x0) + exp(exp(-24.872) - x1 * x1)),4.0,17.0,3.0,4.0,4.0,1.0,4.0,1.0,67.24941698485054,107.03125,2.0,22.0,na,na,17.0,1.108799 * (1.7590104247929514 - 1.001963514999596 / exp(x0 * x0) - 1.0000000000157845 / exp(x1 * x1))
pagie,118,GOMEA,29,original,GP-GOMEA,2.072676 - 0.00052 * (exp(x1 + 8.426 - exp(x1)) + exp(8.611 + x0 - exp(x0))),4.0,19.0,3.0,4.0,4.0,1.0,4.0,1.0,67.30583400349133,111.40625,2.0,26.0,na,na,19.0,0.00052 * (3985.915384615385 - exp(x1 + 8.426 - exp(x1)) - exp(8.611 + x0 - exp(x0)))
kotanchek,21,Bingo,21,original,Bingo,2.0 * 0.17850583364543127 * ((x0 + exp(x0)) * (-1.0 * 0.17850583364543127 * (x0 * exp(x0)) + exp(2.0 * 0.17850583364543127 * (x0 + exp(x0))) - log(abs(2.0 * 0.17850583364543127 * (x0 + exp(x0))))) ** (-1.0)),4.0,20.0,3.0,4.0,4.0,1.0,4.0,1.0,159.16458400897682,110.59375,2.0,99.0,na,na,32.0,0.35701166729086253 * ((x0 + exp(x0)) * (-0.17850583364543127 * (x0 * exp(x0)) + exp(0.35701166729086253 * (x0 + exp(x0))) - (-1.0299868162495163 + log(abs(x0 + exp(x0))))) ** (-1.0))
kotanchek,114,GOMEA,25,original,GP-GOMEA,0.010559 + 0.013455 * ((4.203 - x1 + exp(-3.785)) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),4.0,26.0,3.0,4.0,4.0,1.0,4.0,1.0,73.17424999200739,111.1875,2.0,86.0,na,na,26.0,0.010559 + 0.013455 * ((4.203 - x1 + 0.022708862776731332) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0))
pagie,167,SBP,17,original,SBP,-0.065845 - 0.048266 * (x0 - (x1 + x1) - (x1 + (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1))),4.0,27.0,3.0,4.0,4.0,1.0,4.0,1.0,127.02895898837596,111.90625,2.0,387.0,na,na,29.0,-0.065845 - 0.048266 * (x0 - x1 - x1 - x1 - (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1))
pagie,171,SBP,21,original,SBP,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 - x1 * -0.703 - x0)),4.0,31.0,2.0,4.0,4.0,2.0,4.0,2.0,80.71258300333284,110.53125,2.0,53.0,na,na,28.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 + 0.703 * x1 - x0))
pagie,171,SBP,21,sympy,SBP,0.006351 * exp(-1.0 * x0 ** 2.0 + 2.0 * x0 - 0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,4.0,35.0,2.0,4.0,4.0,2.0,4.0,2.0,887.4301250034478,134.125,2.0,4890.0,na,na,22.0,0.006351 * exp(2.0 * x0 - x0 ** 2.0 + -0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119
pagie,175,SBP,25,sympy,SBP,(0.00540440450573385 * x1 ** 2.0 * (x1 - 6.944) * (x1 - 4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 - 1.0))) * exp(x0 * (1.0 - x0)),4.0,36.0,2.0,4.0,4.0,2.0,4.0,2.0,165.95224998309277,114.4375,2.0,791.0,na,na,32.0,(0.00540440450573385 * x1 ** 2.0 * (x1 + -6.944) * (x1 + -4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 + -1.0))) * exp(x0 * (1.0 - x0))
