dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,n_rank,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,before_status,before_after_params,before_rank_gap,before_parsed_rank_gap,before_parsed_after_params,before_runtime_ms,before_peak_rss_mb,before_passes,before_egraph_total_size,before_rendered,after_status,after_after_params,after_rank_gap,after_parsed_rank_gap,after_parsed_after_params,after_runtime_ms,after_peak_rss_mb,after_passes,after_egraph_total_size,after_rendered,agent_status,conclusion_kind,new_rule_family,proposed_rule,proof_summary,remaining_gap_notes,longer_probe_status,longer_probe_after_params,longer_probe_rank_gap,longer_probe_improved,longer_probe_reached_rank,longer_probe_runtime_ms,longer_probe_peak_rss_mb,before_rank_miss,after_rank_miss,param_delta,rank_gap_delta,missing_rank,execution_issue,fixed_by_extra_rules,still_missed,newly_missed,under_rank,regressed_params,outcome,remaining_issue
pagie,25,Bingo,25,sympy,Bingo,2.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),3.0,18.0,saturated,3.0,1.0,1.0,3.0,30.040792014915496,109.46875,1.0,28.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),saturated,3.0,1.0,1.0,3.0,42.48487501172349,105.234375,1.0,28.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Current rules do not reduce 3->2. Even splitting log(x0*x1) or exp/additive forms leaves A, B, C generically independent in exp(A*(u+v+B)/(u+C)).",Likely rank/counting or finite-data artifact rather than rewrite-budget miss.,ok,3.0,1.0,False,False,29.037333006272092,110.671875,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
pagie,25,Bingo,25,original,Bingo,2.0,exp(-2.377396411352944 * ((-10.503285479940024 - log(abs(0.14985143797609368 * x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1))))),4.0,16.0,saturated,4.0,2.0,2.0,4.0,33.74229100882076,109.515625,1.0,47.0,exp(-2.377396411352944 * ((-10.503285479940024 - log(abs(0.14985143797609368 * x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1))))),saturated,3.0,1.0,1.0,3.0,66.83954101754352,100.171875,2.0,51.0,exp(-2.377396411352944 * ((-8.605174590777912 - log(abs(x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1))))),done,new_rule_partial_reduction,log_abs_scale_extraction,"log(abs(c*x)) -> log(abs(c)) + log(abs(x)), c != 0; log(abs(x*y)) -> log(abs(x)) + log(abs(y))",Splitting log(abs(C*x0)) folds B and C into P=B-log(abs(C)); splitting log(abs(D*(x0*x1))) folds D into Q=log(abs(D)); 4->3. No sound 3->2 path found.,Rank target 2 still unexplained; likely stronger non-local transformation or rank artifact.,ok,3.0,1.0,False,False,51.35987501125783,110.21875,True,True,1.0,1.0,False,False,False,True,False,False,False,still_missed,rule_added_but_not_matching
pagie,110,GOMEA,21,original,GP-GOMEA,3.0,1.950389 - 1.108799 * (exp(exp(-6.234) - x0 * x0) + exp(exp(-24.872) - x1 * x1)),4.0,17.0,saturated,4.0,1.0,1.0,4.0,45.90675001963973,109.640625,2.0,22.0,1.108799 * (1.7590104247929514 - exp(0.0019615898236818204 - x0 * x0) - exp(1.5784384301013077e-11 - x1 * x1)),saturated,4.0,1.0,1.0,4.0,67.24941698485054,107.03125,2.0,22.0,1.108799 * (1.7590104247929514 - 1.001963514999596 / exp(x0 * x0) - 1.0000000000157845 / exp(x1 * x1)),done,new_rule_reduces_to_rank,exp_additive_constant_extraction,exp(c - x) -> exp(c) * exp(-x); exp(c + x) -> exp(c) * exp(x),"Fold exp(-6.234), exp(-24.872) to C,D; rewrite exp(C-X), exp(D-Y); factor exp(C) from the sum and combine B*exp(C), leaving A, B*exp(C), exp(D)/exp(C): 4->3.",Existing rules can finish after the new exp rule exposes constants.,ok,4.0,1.0,False,False,47.184376016957685,110.78125,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,rule_added_but_not_matching
pagie,118,GOMEA,29,original,GP-GOMEA,3.0,2.072676 - 0.00052 * (exp(x1 + 8.426 - exp(x1)) + exp(8.611 + x0 - exp(x0))),4.0,19.0,saturated,4.0,1.0,1.0,4.0,45.580958016216755,109.59375,2.0,26.0,0.00052 * (3985.915384615385 - exp(x1 + 8.426 - exp(x1)) - exp(8.611 + x0 - exp(x0))),saturated,4.0,1.0,1.0,4.0,67.30583400349133,111.40625,2.0,26.0,0.00052 * (3985.915384615385 - exp(x1 + 8.426 - exp(x1)) - exp(8.611 + x0 - exp(x0))),done,new_rule_reduces_to_rank,exp_additive_constant_extraction,k*(exp((u+c1)-v)+exp((w+c2)-z)) -> (k*exp(c1))*exp(u-v)+(k*exp(c2))*exp(w-z); include symmetric c+u/u+c forms,"Current rules stop at 4 params. Exp additive extraction gives 0.00052*exp(8.426)=2.37338748595467 and 0.00052*exp(8.611)=2.85570358866897, yielding 2.072676 - 2.37338748595467*exp(x1-exp(x1)) - 2.85570358866897*exp(x0-exp(x0)) with 3 params.","Plain exp(c+u)->exp(c)*exp(u) exposes constants, but reaching rank needs distribution/scalar absorption across the exp sum.",ok,4.0,1.0,False,False,63.134249969152734,111.1875,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,rule_added_but_not_matching
kotanchek,21,Bingo,21,original,Bingo,3.0,2.0 * 0.17850583364543127 * ((x0 + exp(x0)) * (-1.0 * 0.17850583364543127 * (x0 * exp(x0)) + exp(2.0 * 0.17850583364543127 * (x0 + exp(x0))) - log(abs(2.0 * 0.17850583364543127 * (x0 + exp(x0))))) ** (-1.0)),4.0,20.0,saturated,4.0,1.0,1.0,4.0,62.17920800554566,109.8125,2.0,43.0,0.35701166729086253 * ((x0 + exp(x0)) * (-0.17850583364543127 * (x0 * exp(x0)) + exp(0.35701166729086253 * (x0 + exp(x0))) - log(abs(0.35701166729086253 * (x0 + exp(x0))))) ** (-1.0)),saturated,4.0,1.0,1.0,4.0,159.16458400897682,110.59375,2.0,99.0,0.35701166729086253 * ((x0 + exp(x0)) * (-0.17850583364543127 * (x0 * exp(x0)) + exp(0.35701166729086253 * (x0 + exp(x0))) - (-1.0299868162495163 + log(abs(x0 + exp(x0))))) ** (-1.0)),done,new_rule_reduces_to_rank,quotient_coefficient_exposure,"a*(x*((b*y+e)-l))**-1 -> (x*(y/(a/b)+(e-l)/a))**-1 when a,b are nonzero and a/b is integer-cost/profitable","Current rules fold 2*c to A and -c separately, leaving 4 counted floats. Scaling the reciprocal denominator by A preserves the integer ratio A/c=2, yielding a form with A reused and -2.0 as integer-cost, reducing to 3 counted params.","Needs profitability guard; folding to -0.5*y would still count as a parameter, so the integer ratio orientation matters.",ok,4.0,1.0,False,False,104.46529093314894,110.9375,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,rule_added_but_not_matching
kotanchek,114,GOMEA,25,original,GP-GOMEA,3.0,0.010559 + 0.013455 * ((4.203 - x1 + exp(-3.785)) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),4.0,26.0,saturated,4.0,1.0,1.0,4.0,50.653375015826896,109.21875,2.0,86.0,0.010559 + 0.013455 * ((4.203 - x1 + 0.022708862776731332) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),saturated,4.0,1.0,1.0,4.0,73.17424999200739,111.1875,2.0,86.0,0.010559 + 0.013455 * ((4.203 - x1 + 0.022708862776731332) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),done,new_rule_reduces_to_rank,affine_constant_collection,"rewrite((a - x) + b).to((a + b) - x) for a=Num(af), b=Num(bf); optional symmetric b + (a - x)","Existing rules fold exp(-3.785) to 0.022708862776731332 but leave (4.203 - x1) + 0.022708862776731332. Collecting constants gives 4.225708862776731 - x1, reducing to constants 0.010559, 0.013455, 4.225708862776731: 4->3.",Current larger probes stay at 4; proposed local rule reaches n_rank=3.,ok,4.0,1.0,False,False,68.2300420012325,111.25,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,rule_added_but_not_matching
pagie,167,SBP,17,original,SBP,3.0,-0.065845 - 0.048266 * (x0 - (x1 + x1) - (x1 + (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1))),4.0,27.0,saturated,4.0,1.0,1.0,4.0,95.06850002799185,110.203125,2.0,387.0,-0.065845 - 0.048266 * (x0 - x1 - x1 - x1 - (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1)),saturated,4.0,1.0,1.0,4.0,127.02895898837596,111.90625,2.0,387.0,-0.065845 - 0.048266 * (x0 - x1 - x1 - x1 - (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1)),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none reducing params; polynomial expansion/collection only simplifies shape,"Expanding (p-x0)*((q-x0)*x0) gives constants c,k,p+q,p*q. These remain four independent degrees; derivative directions are generically independent.","Current rules flatten syntax only; rank 3 likely numerical/local rank or counting convention, not globally valid rewrite.",ok,4.0,1.0,False,False,216.7965419939719,111.890625,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
pagie,171,SBP,21,original,SBP,2.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 - x1 * -0.703 - x0)),4.0,31.0,saturated,4.0,2.0,2.0,4.0,50.874374981503934,109.5,2.0,48.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 + 0.703 * x1 - x0)),saturated,4.0,2.0,2.0,4.0,80.71258300333284,110.53125,2.0,53.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 + 0.703 * x1 - x0)),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,No param-reducing rewrite proposed; optional node-only affine cancellation: (x + y) - x -> y and (x + y) + (a - y) -> x + a.,"Affine cancellation simplifies exponent to 2*x0 - x0^2 - 0.703*x1^2 + 3.285822*x1, but still has outer 0.028119 and 0.006351 plus two independent x1-shape constants (0.703 and 4.674, or 0.703 and 3.285822).",n_rank=2 does not look reachable by sound structural rewrites under current ParamCost; likely rank/counting artifact or genuinely four-parameter form.,ok,4.0,2.0,False,False,100.85825101123191,111.234375,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
pagie,171,SBP,21,sympy,SBP,2.0,0.006351 * exp(-1.0 * x0 ** 2.0 + 2.0 * x0 - 0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,4.0,35.0,saturated,4.0,2.0,2.0,4.0,328.4353749768343,122.3125,2.0,65.0,0.006351 * exp(2.0 * x0 - x0 ** 2.0 + -0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,saturated,4.0,2.0,2.0,4.0,887.4301250034478,134.125,2.0,4890.0,0.006351 * exp(2.0 * x0 - x0 ** 2.0 + -0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Completing the square gives B*exp(-(x0-1)^2 - 0.703*(x1-2.337)^2) + 0.028119 with B=0.006351*exp(4.839483007), still four non-integer constants B, 0.703, 2.337, 0.028119. Comparing quadratic log coefficients shows these are generically identifiable.",n_rank=2 appears to be rank/metric artifact rather than reachable by sound rewrite.,ok,4.0,2.0,False,False,111983.89600004884,1010.109375,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
pagie,175,SBP,25,sympy,SBP,2.0,(0.00540440450573385 * x1 ** 2.0 * (x1 - 6.944) * (x1 - 4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 - 1.0))) * exp(x0 * (1.0 - x0)),4.0,36.0,saturated,4.0,2.0,2.0,4.0,103.92108297673984,109.390625,2.0,381.0,(0.00540440450573385 * x1 ** 2.0 * (x1 + -6.944) * (x1 + -4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 + -1.0))) * exp(x0 * (1.0 - x0)),saturated,4.0,2.0,2.0,4.0,165.95224998309277,114.4375,2.0,791.0,(0.00540440450573385 * x1 ** 2.0 * (x1 + -6.944) * (x1 + -4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 + -1.0))) * exp(x0 * (1.0 - x0)),done,needs_many_params_or_rank_artifact,exp_product_or_quotient_normalization,none reducing params; exp(u)*exp(v)->exp(u+v) with distribution only gives shape simplification,"Let A=0.00540440450573385, B=0.015024, c=6.944, d=4.3, q=x0*(x0-1), r=x0*(1-x0)=-q. Then E=(A*x1^2*(x1-c)*(x1-d)*exp(x0)+B*exp(q))*exp(r)=B+A*x1^2*(x1-c)*(x1-d)*exp(2*x0-x0^2), still A,B,c,d = 4 params.",Rank target 2 is not explained by globally sound rewrite; likely finite-data/numerical rank or counting artifact.,ok,4.0,2.0,False,False,1555.6119580287486,160.953125,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
