dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,n_rank,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,before_status,before_after_params,before_rank_gap,before_parsed_rank_gap,before_parsed_after_params,before_runtime_ms,before_peak_rss_mb,before_passes,before_egraph_total_size,before_rendered,after_status,after_after_params,after_rank_gap,after_parsed_rank_gap,after_parsed_after_params,after_runtime_ms,after_peak_rss_mb,after_passes,after_egraph_total_size,after_rendered,agent_status,conclusion_kind,new_rule_family,proposed_rule,proof_summary,remaining_gap_notes,longer_probe_status,longer_probe_after_params,longer_probe_rank_gap,longer_probe_improved,longer_probe_reached_rank,longer_probe_runtime_ms,longer_probe_peak_rss_mb,before_rank_miss,after_rank_miss,param_delta,rank_gap_delta,missing_rank,execution_issue,fixed_by_extra_rules,still_missed,newly_missed,under_rank,regressed_params,outcome,remaining_issue
kotanchek,90,GOMEA,1,sympy,GP-GOMEA,1.0,0.01634,1.0,1.0,saturated,1.0,0.0,0.0,1.0,25.49020800506696,108.78125,1.0,4.0,0.01634,saturated,1.0,0.0,0.0,1.0,63.541750016156584,105.875,1.0,4.0,0.01634,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,175,SBP,26,sympy,SBP,1.0,0.029215,1.0,1.0,saturated,1.0,0.0,0.0,1.0,26.497250015381724,109.0625,1.0,4.0,0.029215,saturated,1.0,0.0,0.0,1.0,29.335750004975125,110.3125,1.0,4.0,0.029215,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,179,SBP,30,sympy,SBP,2.0,0.045524,1.0,1.0,saturated,1.0,-1.0,-1.0,1.0,24.787583999568596,109.28125,1.0,4.0,0.045524,saturated,1.0,-1.0,-1.0,1.0,31.72866700333543,99.5,1.0,4.0,0.045524,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
pagie,115,GOMEA,26,sympy,GP-GOMEA,2.0,1.950387,1.0,1.0,saturated,1.0,-1.0,-1.0,1.0,24.894375004805624,109.25,1.0,4.0,1.950387,saturated,1.0,-1.0,-1.0,1.0,34.55249997205101,98.65625,1.0,4.0,1.950387,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
pagie,116,GOMEA,27,sympy,GP-GOMEA,2.0,2.013362,1.0,1.0,saturated,1.0,-1.0,-1.0,1.0,23.257791996002197,108.546875,1.0,4.0,2.013362,saturated,1.0,-1.0,-1.0,1.0,40.12799999327399,102.78125,1.0,4.0,2.013362,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
pagie,150,SBP,1,sympy,SBP,2.0,0.004376,1.0,1.0,saturated,1.0,-1.0,-1.0,1.0,25.794916989980265,109.21875,1.0,4.0,0.004376,saturated,1.0,-1.0,-1.0,1.0,41.18499998003245,99.984375,1.0,4.0,0.004376,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
pagie,155,SBP,6,sympy,SBP,1.0,0.012711,1.0,1.0,saturated,1.0,0.0,0.0,1.0,39.58779200911522,106.8125,1.0,4.0,0.012711,saturated,1.0,0.0,0.0,1.0,29.32937498553656,94.234375,1.0,4.0,0.012711,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,151,SBP,2,sympy,SBP,1.0,-0.000871,1.0,1.0,saturated,1.0,0.0,0.0,1.0,31.516040995484214,99.703125,1.0,4.0,-0.000871,saturated,1.0,0.0,0.0,1.0,43.1735000165645,100.453125,1.0,4.0,-0.000871,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,59,EPLEX,30,original,EPLEX,2.0,((0.208 * x0) ** 2.0 - 0.592) ** 2.0,2.0,9.0,saturated,2.0,0.0,0.0,2.0,28.447666991269216,108.625,1.0,21.0,((0.208 * x0) ** 2.0 - 0.592) ** 2.0,saturated,2.0,0.0,0.0,2.0,42.66270899097435,99.296875,1.0,21.0,((0.208 * x0) ** 2.0 - 0.592) ** 2.0,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,59,EPLEX,30,sympy,EPLEX,2.0,0.350464 * (0.0730810810810811 * x0 ** 2.0 - 1.0) ** 2.0,2.0,9.0,saturated,2.0,0.0,0.0,2.0,31.327375007094815,109.265625,1.0,35.0,0.350464 * (0.0730810810810811 * x0 ** 2.0 - 1.0) ** 2.0,saturated,2.0,0.0,0.0,2.0,50.37466698559001,110.890625,1.0,35.0,0.350464 * (0.0730810810810811 * x0 ** 2.0 - 1.0) ** 2.0,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
