dataset,raw_index,algorithm_raw,algo_row,input_kind,variant,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,egraph_total_size,egraph_nodes,eclass_count,passes,extracted_cost,peak_rss_mb,rendered
kotanchek,0,Bingo,1,original,baseline,saturated,2025.2765419718344,38.0,4.0,32.0,4.0,7463.0,na,na,2.0,32.0,168.078125,-0.020073090501122322 * (x0 + x1 + -5.5120891698213805) + 0.713072197849276 * ((0.022522799045566234 + x0 * x0) * (x0 * x0 + x1 ** (-1.0) / 2.0 * exp(x0 * x0)) ** (-1.0))
kotanchek,0,Bingo,1,sympy,baseline,saturated,3882.1966249961406,45.0,5.0,20.0,2.0,6610.0,na,na,2.0,20.0,212.3125,1.42614439569855 / (2.0 + exp(x0 ** 2.0) / x1 / x0 ** 2.0) + -0.020073090501122322 * (x0 + x1)
kotanchek,2,Bingo,2,original,baseline,saturated,4051.9529579905793,53.0,11.0,25.0,5.0,5331.0,na,na,2.0,25.0,209.71875,0.0733758759684265 * (exp(x0) + -2.0678277294438554 * x0) ** (-1.0) * (log(abs(-14.792753236262874 * (x1 + 0.09949919221042855) + exp(x1))) + 1.7490262040627176 * x0)
kotanchek,2,Bingo,2,sympy,baseline,saturated,6768.48387499922,22.0,5.0,22.0,5.0,14404.0,na,na,2.0,22.0,192.578125,(log(exp(x1) + x1 / -0.0676006679776558 + -1.4718669975763585) + x0 / 0.5717467226489543) / -13.628457402407 / (x0 / 0.48359927945687775 - exp(x0))
kotanchek,3,Bingo,3,original,baseline,saturated,185.2096249931492,24.0,5.0,22.0,4.0,151.0,na,na,2.0,22.0,122.359375,-0.01768299095097286 + -0.799049025992938 * (x0 * x0) * (x1 * (-4.734655034994491 + x1) + -0.3212108877413568) * exp(2.0 * x0) ** (-1.0)
kotanchek,3,Bingo,3,sympy,baseline,saturated,1833.7670420005452,25.0,4.0,20.0,4.0,139.0,na,na,2.0,20.0,167.21875,-0.01768299095097286 - x0 ** 2.0 * (0.7990490259929379 * ((x1 - 4.734655034994491) * x1 + -0.3212108877413568)) * exp(-2.0 * x0)
kotanchek,4,Bingo,4,original,baseline,saturated,2732.713582983706,22.0,4.0,20.0,4.0,37.0,na,na,2.0,20.0,177.109375,-0.03144312866911644 * (-31.196859437348742 * (x0 * (-0.044758903858526766 + exp(x0 * x0) ** (-1.0) * x0) - -0.09927011353254821) - x1)
kotanchek,4,Bingo,4,sympy,baseline,saturated,2096.053750021383,22.0,4.0,22.0,4.0,8719.0,na,na,2.0,22.0,172.0625,0.09737672129150278 + (0.980926865360896 * x0 ** 2.0 * exp(-1.0 * x0 ** 2.0) + -0.043905211258934373 * x0) + 0.03144312866911644 * x1
kotanchek,5,Bingo,5,original,baseline,saturated,949.4476660038345,28.0,7.0,22.0,4.0,617.0,na,na,2.0,22.0,143.8125,1.275565309954333e-05 * (x0 + 3321.465346573016 * exp(2.0 * x0 - x0 * x0)) * (0.0929803245489893 + x1 * (4.739077949578231 - x1))
kotanchek,5,Bingo,5,sympy,baseline,saturated,1111.9862500054296,40.0,6.0,36.0,5.0,2308.0,na,na,2.0,36.0,154.609375,(1.275565309954333e-05 * ((-3321.465346573016 - exp(x0 * (x0 - 2.0)) * x0) * ((x1 - 4.739077949578231) * x1 - 0.092980324549141)) - 0.00021014784984354508 * exp(x0 * (x0 - 2.0))) * exp(x0 * (2.0 - x0))
kotanchek,6,Bingo,6,original,baseline,saturated,5791.791166993789,35.0,7.0,29.0,5.0,11839.0,na,na,2.0,29.0,193.6875,x0 * (-0.708264064344585 + 0.22602214542380888 * x0) ** 2.0 + x1 * (0.3286374849396323 * (x0 - x0 * x0) + x1) * (0.07900418526719069 + -0.004875727623836811 * (x1 * x1))
kotanchek,6,Bingo,6,sympy,baseline,saturated,3982.848040992394,31.0,5.0,29.0,5.0,11600.0,na,na,2.0,29.0,193.078125,0.05108601022198137 * (x0 - 3.1336047315918334) ** 2.0 * x0 - (-0.3286374849396323 * x0 * (x0 - 1.0) + x1) * x1 * (0.004875727623836811 * x1 ** 2.0 - 0.07900418526719069)
kotanchek,7,Bingo,7,original,baseline,saturated,199.45787501637824,33.0,4.0,33.0,4.0,1624.0,na,na,1.0,33.0,125.9375,0.02373272556048897 * x1 + 0.31519150907418003 * ((3.536500867539311 - x0) * ((exp(x0 - log(abs(x0))) - exp(-0.8913829801942106 * x1 ** (-1.0))) ** (-1.0) * (x0 - log(abs(x0))) ** (-1.0)))
kotanchek,7,Bingo,7,sympy,baseline,saturated,238.9438340032939,24.0,4.0,24.0,4.0,980.0,na,na,2.0,24.0,122.328125,0.02373272556048897 * x1 + 0.31519150907418003 * (x0 + -3.536500867539311) / ((x0 - log(x0)) * (exp(-0.8913829801942106 / x1) - exp(x0) / x0))
kotanchek,8,Bingo,8,original,baseline,saturated,144.84004100086167,26.0,6.0,24.0,5.0,89.0,na,na,2.0,24.0,119.34375,0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * (-1.3864562418418644 + x1) ** 2.0 - x0)) * exp(x0) ** (-1.0)))
kotanchek,8,Bingo,8,sympy,baseline,saturated,2809.750417014584,26.0,5.0,24.0,5.0,12291.0,na,na,2.0,24.0,181.921875,-0.11720391936222797 * x1 * (x0 * (x0 + 0.6667403548542733 * (x1 - 1.3864562418418644) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0)
kotanchek,9,Bingo,9,original,baseline,saturated,96.27070897840895,21.0,2.0,21.0,2.0,33.0,na,na,1.0,21.0,117.90625,exp(x0) * (3.396536372521252 + (0.4137631538437465 + x1) ** (-1.0) * (exp(x0) ** (-1.0) * exp(exp(x0)))) ** (-1.0)
kotanchek,9,Bingo,9,sympy,baseline,saturated,975.5414160026703,21.0,3.0,17.0,2.0,4677.0,na,na,2.0,17.0,141.546875,exp(2.0 * x0) / (exp(x0) / 0.2944175743531635 + exp(exp(x0)) / (x1 + 0.4137631538437465))
kotanchek,10,Bingo,10,original,baseline,saturated,3706.1032909841742,32.0,3.0,32.0,3.0,14129.0,na,na,2.0,32.0,197.09375,0.03943336488999562 * (x1 * ((x0 * x0 + x1) * (0.046906498950706255 * (x1 + 4.0 * (x1 * x1) + exp(x0 * x0) + 2.649301878755651) - log(abs(x1))) ** (-1.0)))
kotanchek,10,Bingo,10,sympy,baseline,saturated,3781.37162499479,31.0,5.0,29.0,3.0,10429.0,na,na,2.0,29.0,187.6875,(x0 ** 2.0 + x1) * x1 / ((exp(x0 ** 2.0) + (x1 + 4.0 * x1 ** 2.0) + log(x1) / -0.046906498950706255 + 2.649301878755651) / 0.8406801993778281)
kotanchek,11,Bingo,11,original,baseline,saturated,305.6760830222629,28.0,4.0,26.0,3.0,638.0,na,na,2.0,26.0,127.515625,(-1.1634241022901022 + exp(exp(-1.0 + x0)) ** (-1.0)) * (1.2522488356336676 - exp(x0 * exp(exp(-1.0 + x0)) ** (-1.0))) + 0.03139967317000205 * x1
kotanchek,11,Bingo,11,sympy,baseline,saturated,1220.5717920151073,42.0,4.0,26.0,3.0,1672.0,na,na,2.0,26.0,151.875,(1.1634241022901022 - exp(-1.0 * exp(x0 - 1.0))) * (exp(x0 * exp(-1.0 * exp(x0 - 1.0))) - 1.2522488356336676) + 0.03139967317000205 * x1
kotanchek,12,Bingo,12,original,baseline,saturated,1619.45466598263,30.0,6.0,26.0,5.0,6351.0,na,na,2.0,26.0,159.765625,(0.00822065460724008 + x0 * x0) * exp(x0 * x0) ** (-1.0) + x1 * (-0.04358235597907372 * (-4.735723943783631 + x1)) + -0.04106910574307527 * (x0 + 0.36426566457644494)
