dataset,raw_index,algorithm_raw,algo_row,input_kind,variant,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,egraph_total_size,passes,extracted_cost,peak_rss_mb,rendered
kotanchek,0,Bingo,1,original,baseline,saturated,684.9485000129789,38.0,4.0,32.0,5.0,123.0,2.0,32.0,118.078125,-0.020073090501122322 * (x0 + x1 + -5.5120891698213805) + 0.713072197849276 * ((0.022522799045566234 + x0 * x0) * (x0 * x0 + 0.5 * (x1 ** (-1.0) * exp(x0 * x0))) ** (-1.0))
kotanchek,0,Bingo,1,sympy,baseline,saturated,1454.0939169819467,45.0,5.0,43.0,4.0,63.0,2.0,43.0,128.9375,((2.0 * x0 ** 2.0 * x1 + exp(x0 ** 2.0)) * (x0 + x1 + -5.5120891698213805) + -71.04757464321759 * x1 * (x0 ** 2.0 + 0.022522799045566234)) * (-0.020073090501122322 / (2.0 * x0 ** 2.0 * x1 + exp(x0 ** 2.0)))
kotanchek,2,Bingo,2,original,baseline,saturated,159.80025002500042,53.0,11.0,25.0,5.0,54.0,2.0,25.0,107.0625,0.12833632981483378 * ((x0 + 0.5717467226489543 * log(abs(-14.792753236262874 * (x1 + 0.09949919221042855) + exp(x1)))) * (exp(x0) + -2.0678277294438554 * x0) ** (-1.0))
kotanchek,2,Bingo,2,sympy,baseline,saturated,100.37537501193583,22.0,5.0,22.0,5.0,84.0,1.0,22.0,106.140625,(-0.12833632981483378 * x0 - 0.0733758759684265 * log(-14.792753236262874 * x1 + exp(x1) - 1.4718669975763585)) / (2.0678277294438554 * x0 - exp(x0))
kotanchek,3,Bingo,3,original,baseline,saturated,222.5242920103483,24.0,5.0,22.0,4.0,142.0,2.0,22.0,107.421875,-0.01768299095097286 + -0.799049025992938 * (x1 * (-4.734655034994491 + x1) + -0.3212108877413568) * exp(2.0 * x0) ** (-1.0) * (x0 * x0)
kotanchek,3,Bingo,3,sympy,baseline,saturated,117.11916601052508,25.0,4.0,25.0,4.0,109.0,1.0,25.0,106.765625,(x0 ** 2.0 * (-0.7990490259929379 * x1 * (x1 - 4.734655034994491) + 0.2566632469880581) - 0.01768299095097286 * exp(2.0 * x0)) * exp(-2.0 * x0)
kotanchek,4,Bingo,4,original,baseline,saturated,186.44287501228973,22.0,4.0,20.0,4.0,38.0,2.0,20.0,109.171875,-0.03144312866911644 * (-3.0969157782045578 + -31.196859437348742 * (x0 * (-0.044758903858526766 + exp(x0 * x0) ** (-1.0) * x0)) - x1)
kotanchek,4,Bingo,4,sympy,baseline,saturated,360.3090000106022,22.0,4.0,22.0,4.0,587.0,2.0,22.0,111.125,0.09737672129150278 + (0.980926865360896 * x0 ** 2.0 * exp(-1.0 * x0 ** 2.0) + -0.043905211258934373 * x0) + 0.03144312866911644 * x1
kotanchek,5,Bingo,5,original,baseline,saturated,166.52704199077561,28.0,7.0,24.0,5.0,43.0,2.0,24.0,110.1875,-0.00021014784984354508 + 0.04236745974303985 * (exp(2.0 * x0 - x0 * x0) + 0.00030107193532269384 * x0) * (0.0929803245489893 + x1 * (4.739077949578231 - x1))
kotanchek,5,Bingo,5,sympy,baseline,saturated,1137.652125034947,40.0,6.0,36.0,5.0,110.0,2.0,36.0,121.828125,(-1.275565309954333e-05 * ((x1 - 4.739077949578231) * x1 - 0.092980324549141) * (exp(x0 * (x0 - 2.0)) * x0 - -3321.465346573016) - 0.00021014784984354508 * exp(x0 * (x0 - 2.0))) * exp(x0 * (2.0 - x0))
pagie,0,Bingo,1,original,baseline,saturated,193.5660419985652,43.0,6.0,39.0,6.0,62.0,2.0,39.0,109.671875,0.5240322255066139 + -0.45351118068033663 * log(abs(-54.93119319072758 + 755.3723998652232 * log(abs(-2.0 * (x0 * (x1 ** (-1.0) + 33219378496.322727 * x1)))) ** (-1.0) + log(abs(-2.0 * (x0 * (x1 ** (-1.0) + 33219378496.322727 * x1))))))
pagie,0,Bingo,1,sympy,baseline,saturated,321.97895797435194,34.0,6.0,28.0,6.0,69.0,2.0,28.0,113.6875,0.5240322255066139 - 0.45351118068033663 * log(-30.011646777931055 + log((-3.010291117007793e-11 / x1 - x1) * x0) + 755.3723998652232 / log((-66438756992.645454 * x1 - 2.0 / x1) * x0))
pagie,1,Bingo,2,original,baseline,saturated,173.94624999724329,23.0,4.0,19.0,4.0,65.0,2.0,19.0,109.765625,0.04547093390683249 + 0.17516554602688977 * log(abs(x0 * x0 * (34.093055726490284 + -428.9738000218307 * (x1 * x1)) + x1))
pagie,1,Bingo,2,sympy,baseline,saturated,128.78683401504532,22.0,4.0,18.0,4.0,43.0,2.0,18.0,111.484375,0.17516554602688977 * log(x0 ** 2.0 * (x1 ** 2.0 * -428.9738000218307 + 34.093055726490284) + x1) + 0.04547093390683249
pagie,2,Bingo,3,original,baseline,saturated,154.92000000085682,37.0,7.0,23.0,4.0,51.0,2.0,23.0,109.609375,0.331885850726245 * log(abs(1.0 + -1.4192603808235096 * (x1 * (x0 + 22.05465845949665 * x0 + log(abs(-0.5941007048060543 + x0)))) - x0))
