dataset,raw_index,algorithm_raw,algo_row,input_kind,variant,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,egraph_total_size,passes,extracted_cost,peak_rss_mb,rendered
kotanchek,0,Bingo,1,original,container,saturated,158.86620804667473,32.0,4.0,30.0,5.0,18.0,2.0,30.0,110.78125,0.11064466475608078 - 0.010036545250561161 * (2.0 * (x1 + x0)) + 0.713072197849276 * (0.022522799045566234 + x0 ** 2.0) / (x0 ** 2.0 + 0.5 * exp(x0 ** 2.0) / x1)
kotanchek,0,Bingo,1,sympy,container,saturated,162.5462499796413,45.0,5.0,43.0,4.0,23.0,2.0,43.0,110.734375,((2.0 * x0 ** 2.0 * x1 + exp(x0 ** 2.0)) * (-0.020073090501122322 * (-5.5120891698213805 + x1 + x0)) + 1.42614439569855 * x1 * (0.022522799045566234 + x0 ** 2.0)) / (2.0 * x0 ** 2.0 * x1 + exp(x0 ** 2.0))
kotanchek,2,Bingo,2,original,container,saturated,165.87379103293642,53.0,11.0,23.0,5.0,15.0,2.0,23.0,110.5,0.12833632981483378 * (x0 + 0.5717467226489543 * log(abs(-1.4718669975763585 - 14.792753236262874 * x1 + exp(x1)))) / (-2.0678277294438554 * x0 + exp(x0))
kotanchek,2,Bingo,2,sympy,container,saturated,145.85833303863183,22.0,5.0,22.0,5.0,23.0,2.0,22.0,109.6875,(-0.12833632981483378 * x0 - 0.0733758759684265 * log(-1.4718669975763585 - 14.792753236262874 * x1 + exp(x1))) / (2.0678277294438554 * x0 - exp(x0))
kotanchek,3,Bingo,3,original,container,saturated,145.65979095641524,22.0,5.0,20.0,4.0,15.0,2.0,20.0,111.1875,-0.01768299095097286 - 0.799049025992938 * x0 ** 2.0 * (-0.3212108877413568 + x1 * (-4.734655034994491 + x1)) / exp(2.0 * x0)
kotanchek,3,Bingo,3,sympy,container,saturated,166.11745895352215,25.0,4.0,25.0,4.0,27.0,2.0,25.0,110.609375,(x0 ** 2.0 * (0.2566632469880581 - 0.7990490259929379 * x1 * (-4.734655034994491 + x1)) - 0.01768299095097286 * exp(2.0 * x0)) * exp(-2.0 * x0)
kotanchek,4,Bingo,4,original,container,saturated,108.59570896718651,20.0,4.0,18.0,4.0,20.0,2.0,18.0,109.640625,-0.03144312866911644 * (-3.0969157782045578 - x1 - 31.196859437348742 * (x0 * (-0.044758903858526766 + x0 / exp(x0 ** 2.0))))
kotanchek,4,Bingo,4,sympy,container,saturated,110.95658299745992,22.0,4.0,20.0,4.0,14.0,2.0,20.0,109.53125,0.09737672129150278 + 0.03144312866911644 * x1 + x0 * (-0.043905211258934373 + 0.980926865360896 * x0 * exp(-1.0 * x0 ** 2.0))
kotanchek,5,Bingo,5,original,container,saturated,141.4047079742886,30.0,7.0,22.0,5.0,37.0,2.0,22.0,110.75,-0.00021014784984354508 + 1.275565309954333e-05 * (0.0929803245489893 + x1 * (4.739077949578231 - x1)) * (x0 + 3321.465346573016 * exp(x0 * (2.0 - x0)))
kotanchek,5,Bingo,5,sympy,container,saturated,124.76208299631253,42.0,6.0,36.0,5.0,27.0,2.0,36.0,111.65625,(-0.00021014784984354508 * exp(x0 * (-2.0 + x0)) - 1.275565309954333e-05 * (3321.465346573016 + x0 * exp(x0 * (-2.0 + x0))) * (-0.092980324549141 + x1 * (-4.739077949578231 + x1))) * exp(x0 * (2.0 - x0))
kotanchek,6,Bingo,6,original,container,saturated,133.16154101630673,31.0,5.0,29.0,5.0,27.0,2.0,29.0,110.5625,0.051086010221981414 * x0 * (-3.1336047315918334 + x0) ** 2.0 - 0.004875727623836811 * x1 * (-16.203568238912545 + x1 ** 2.0) * (x1 + 0.3286374849396323 * (x0 - x0 ** 2.0))
kotanchek,6,Bingo,6,sympy,container,saturated,133.75879195518792,31.0,5.0,29.0,5.0,14.0,2.0,29.0,110.484375,-0.004875727623836811 * x1 * (x1 - 0.3286374849396323 * x0 * (-1.0 + x0)) * (-16.203568238912545 + x1 ** 2.0) + 0.05108601022198137 * x0 * (-3.1336047315918334 + x0) ** 2.0
kotanchek,7,Bingo,7,original,container,saturated,123.8577920012176,29.0,4.0,27.0,3.0,26.0,2.0,27.0,110.46875,0.02373272556048897 * x1 + 0.31519150907418003 * (3.536500867539311 - x0) / ((x0 - log(abs(x0))) * (exp(x0 - log(abs(x0))) - exp(-0.8913829801942106 / x1)))
kotanchek,7,Bingo,7,sympy,container,saturated,107.8102079918608,24.0,4.0,24.0,3.0,18.0,2.0,24.0,110.25,0.02373272556048897 * x1 + 0.31519150907418003 * (-3.536500867539311 + x0) / ((x0 - log(x0)) * (exp(-0.8913829801942106 / x1) - exp(x0) / x0))
kotanchek,8,Bingo,8,original,container,saturated,105.7718750089407,24.0,5.0,22.0,5.0,22.0,2.0,22.0,109.8125,0.11720391936222797 * x1 * (0.6931234338478329 + x0 * (6.4849819024041455 - x0 - 0.6667403548542734 * (-1.3864562418418644 + x1) ** 2.0)) / exp(x0)
kotanchek,8,Bingo,8,sympy,container,saturated,103.33220800384879,26.0,5.0,26.0,5.0,17.0,2.0,26.0,109.859375,-0.11720391936222797 * x1 * (-0.6931234338478329 + x0 * (-6.4849819024041455 + x0 + 1.2816489216174494 * (-1.0 + 0.7212632969011202 * x1) ** 2.0)) * exp(-1.0 * x0)
kotanchek,9,Bingo,9,original,container,saturated,70.12841600226238,15.0,2.0,15.0,2.0,16.0,1.0,15.0,109.109375,exp(x0) / (3.396536372521252 + exp(exp(x0)) / (exp(x0) * (0.4137631538437465 + x1)))
kotanchek,9,Bingo,9,sympy,container,saturated,112.19358403468505,21.0,3.0,21.0,3.0,15.0,2.0,21.0,109.59375,(0.4137631538437465 + x1) * exp(2.0 * x0) / (3.396536372521252 * exp(x0) * (0.4137631538437465 + x1) + exp(exp(x0)))
kotanchek,10,Bingo,10,original,container,saturated,114.96937496121973,30.0,3.0,30.0,3.0,30.0,2.0,30.0,111.21875,0.03943336488999562 * x1 * (x1 + x0 ** 2.0) / (0.12426947579595604 - log(abs(x1)) + 0.046906498950706255 * (x1 + 4.0 * x1 ** 2.0 + exp(x0 ** 2.0)))
kotanchek,10,Bingo,10,sympy,container,saturated,108.52020798483863,31.0,5.0,29.0,3.0,20.0,2.0,29.0,110.8125,0.8406801993778281 * x1 * (x1 + x0 ** 2.0) / (2.649301878755651 + x1 + 4.0 * x1 ** 2.0 - 21.31900743755985 * log(x1) + exp(x0 ** 2.0))
kotanchek,11,Bingo,11,original,container,saturated,108.1495420075953,26.0,4.0,26.0,4.0,18.0,2.0,26.0,109.734375,0.2306440753250631 + (-1.1634241022901022 + 1.0 / exp(exp(-1.0 + x0))) * (1.2522488356336676 - exp(x0 / exp(exp(-1.0 + x0)))) + 0.03139967317000205 * x1
kotanchek,11,Bingo,11,sympy,container,saturated,145.19587496761233,44.0,4.0,42.0,4.0,32.0,2.0,42.0,111.796875,exp(-1.0 * exp(-1.0 + x0)) * (exp(exp(-1.0 + x0)) * (0.2306440753250631 + 0.03139967317000205 * x1) + (-1.2522488356336676 + exp(x0 * exp(-1.0 * exp(-1.0 + x0)))) * (-1.0 + 1.1634241022901022 * exp(exp(-1.0 + x0))))
kotanchek,12,Bingo,12,original,container,saturated,119.36187499668449,28.0,6.0,26.0,6.0,13.0,2.0,26.0,110.5625,3.192499125220162 + (0.00822065460724008 + x0 ** 2.0) / exp(x0 ** 2.0) - 0.04106910574307527 * (78.09907550417113 + x0 + 1.0611956406287764 * x1 * (-4.735723943783631 + x1))
kotanchek,12,Bingo,12,sympy,container,saturated,137.7927499706857,35.0,5.0,35.0,5.0,18.0,2.0,35.0,110.21875,(0.00822065460724008 + x0 ** 2.0 - (0.01496006509706177 + 0.04106910574307527 * x0 + I * pi + 0.04358235597907372 * x1 * (-4.735723943783631 + x1)) * exp(x0 ** 2.0)) * exp(-1.0 * x0 ** 2.0)
kotanchek,13,Bingo,13,original,container,saturated,100.41083302348852,21.0,7.0,17.0,5.0,11.0,2.0,17.0,110.0625,-0.08550552777558017 * (-3.1280699065741504 + x0 - 0.5689633079747608 * x1) / (0.5779839749676181 + (-1.142010252221088 + x0) ** 2.0)
kotanchek,13,Bingo,13,sympy,container,saturated,98.3620829647407,21.0,6.0,17.0,5.0,11.0,2.0,17.0,110.34375,-0.08550552777558015 * (-3.1280699065741504 + x0 - 0.5689633079747608 * x1) / (0.5779839749676181 + (-1.142010252221088 + x0) ** 2.0)
kotanchek,14,Bingo,14,original,container,saturated,106.04412498651072,22.0,5.0,22.0,5.0,23.0,2.0,22.0,109.734375,(-0.008870475378536939 - 0.0506336679649604 * x1) * log(abs(-9.541496629390634 + 2.0 * x1)) / (x0 - 0.3460574947000204 * (1.0326587094648079 + exp(x0)))
kotanchek,14,Bingo,14,sympy,container,saturated,127.98637500964105,23.0,5.0,21.0,5.0,27.0,2.0,21.0,109.75,(0.008870475378536939 + 0.0506336679649604 * x1) * log(-9.541496629390634 + 2.0 * x1) / (0.35735928587754767 - x0 + 0.3460574947000204 * exp(x0))
kotanchek,15,Bingo,15,original,container,saturated,77.49391696415842,20.0,3.0,20.0,2.0,14.0,2.0,20.0,109.265625,-0.009079799107138235 + 0.973619601464109 / (-1.1573239810414302 + 1.0 / x1 ** 2.0 + exp(x0) - 2.0 * log(abs(x0)))
kotanchek,15,Bingo,15,sympy,container,saturated,97.86658297525719,19.0,3.0,19.0,2.0,13.0,2.0,19.0,109.296875,-0.009079799107138235 + 0.973619601464109 / (-1.1573239810414302 + exp(x0) + 1.0 / x1 ** 2.0 - 2.0 * log(x0))
kotanchek,16,Bingo,16,original,container,saturated,105.87425000267103,20.0,5.0,18.0,4.0,16.0,2.0,18.0,112.09375,-5.9611827480310925e-05 - 0.11518537624350336 * (-0.09118792079643674 + x1 * (-4.739082076972427 + x1)) / exp((-1.0 + x0) ** 2.0)
kotanchek,16,Bingo,16,sympy,container,saturated,133.03808303317055,27.0,4.0,27.0,4.0,21.0,2.0,27.0,110.84375,(0.010503514965800351 - 0.11518537624350338 * x1 * (-4.739082076972427 + x1) - 5.9611827480310925e-05 * exp((-1.0 + x0) ** 2.0)) * exp(-1.0 * (-1.0 + x0) ** 2.0)
kotanchek,17,Bingo,17,original,container,saturated,114.4054580363445,37.0,4.0,35.0,4.0,19.0,2.0,35.0,109.953125,0.681112641117685 * exp(x0) * (-1.0 * exp(x0) + x0) * (-0.601686750816862 - x0 + 0.0635052950716775 * exp(x0) * (-1.0 * exp(x0) + x0) * (-0.17402614857984516 + x1)) / exp(exp(x0))
kotanchek,17,Bingo,17,sympy,container,saturated,125.41562499245629,30.0,4.0,30.0,4.0,13.0,2.0,30.0,109.828125,-0.681112641117685 * (x0 - exp(x0)) * (0.601686750816862 + x0 - 0.0635052950716775 * exp(x0) * (x0 - exp(x0)) * (-0.17402614857984516 + x1)) * exp(x0 - exp(x0))
kotanchek,18,Bingo,18,original,container,saturated,112.03433305490762,31.0,3.0,31.0,2.0,16.0,2.0,31.0,109.71875,(0.6342565001176109 + x0 * (exp(x0) - x0)) / (exp(x0) / exp(exp(x0) - x0) + 0.5982795866023631 * exp(exp(x0) - x0) + 1.9932377603672047 / x1 ** 2.0)
kotanchek,18,Bingo,18,sympy,container,saturated,137.2110839583911,48.0,3.0,42.0,3.0,24.0,2.0,42.0,110.703125,x1 ** 2.0 * exp(x0 - exp(x0)) * (0.6342565001176109 - x0 * (x0 - exp(x0))) / (1.9932377603672047 * exp(x0 - exp(x0)) + x1 ** 2.0 * (0.5982795866023631 + exp(3.0 * x0 - 2.0 * exp(x0))))
kotanchek,19,Bingo,19,original,container,saturated,110.20466696936637,26.0,4.0,22.0,4.0,15.0,2.0,22.0,110.5,0.004874455021822982 * (0.6623280966084486 + x1) * (9.896181203737148 + (10.524866972388967 + x0) / exp(x0 * (-2.0 + x0)) - x1 ** 2.0)
