dataset,raw_index,algorithm_raw,algo_row,input_kind,variant,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,egraph_total_size,passes,extracted_cost,peak_rss_mb,rendered
kotanchek,0,Bingo,1,original,container,saturated,196.06529199518263,32.0,4.0,28.0,5.0,83.0,2.0,28.0,113.40625,-0.020073090501122322 * (-5.5120891698213805 + x1 + x0 - 35.52378732160884 * (0.022522799045566234 + x0 ** 2.0) / (x0 ** 2.0 + 0.5 * exp(x0 ** 2.0) / x1))
kotanchek,0,Bingo,1,sympy,container,saturated,182.62362491805106,45.0,5.0,43.0,4.0,55.0,2.0,43.0,113.78125,((2.0 * x0 ** 2.0 * x1 + exp(x0 ** 2.0)) * (-0.020073090501122322 * (-5.5120891698213805 + x0 + x1)) + 1.42614439569855 * x1 * (0.022522799045566234 + x0 ** 2.0)) / (2.0 * x0 ** 2.0 * x1 + exp(x0 ** 2.0))
kotanchek,2,Bingo,2,original,container,saturated,174.87883300054818,53.0,11.0,23.0,5.0,33.0,2.0,23.0,113.171875,0.12833632981483378 * (x0 + 0.5717467226489543 * log(abs(-1.4718669975763585 - 14.792753236262874 * x1 + exp(x1)))) / (-2.0678277294438554 * x0 + exp(x0))
kotanchek,2,Bingo,2,sympy,container,saturated,158.8239170378074,22.0,5.0,22.0,5.0,30.0,2.0,22.0,112.390625,(-0.12833632981483378 * x0 - 0.0733758759684265 * log(-1.4718669975763585 - 14.792753236262874 * x1 + exp(x1))) / (2.0678277294438554 * x0 - exp(x0))
kotanchek,3,Bingo,3,original,container,saturated,165.94350000377744,22.0,5.0,20.0,4.0,38.0,2.0,20.0,111.921875,-0.01768299095097286 - 0.799049025992938 * x0 ** 2.0 * (-0.3212108877413568 + x1 * (-4.734655034994491 + x1)) / exp(2.0 * x0)
kotanchek,3,Bingo,3,sympy,container,saturated,163.93816599156708,25.0,4.0,25.0,4.0,36.0,2.0,25.0,112.59375,(x0 ** 2.0 * (0.2566632469880581 - 0.7990490259929379 * x1 * (-4.734655034994491 + x1)) - 0.01768299095097286 * exp(2.0 * x0)) * exp(-2.0 * x0)
kotanchek,4,Bingo,4,original,container,saturated,175.34475005231798,20.0,4.0,18.0,4.0,56.0,2.0,18.0,113.4375,-0.03144312866911644 * (-3.0969157782045578 - x1 - 31.196859437348742 * x0 * (-0.044758903858526766 + x0 / exp(x0 ** 2.0)))
kotanchek,4,Bingo,4,sympy,container,saturated,165.3871670132503,22.0,4.0,20.0,4.0,43.0,2.0,20.0,112.875,0.09737672129150278 + 0.03144312866911644 * x1 + x0 * (-0.043905211258934373 + 0.980926865360896 * x0 * exp(-1.0 * x0 ** 2.0))
kotanchek,5,Bingo,5,original,container,saturated,222.79870801139623,30.0,7.0,22.0,5.0,106.0,2.0,22.0,114.75,-0.00021014784984354508 + 1.275565309954333e-05 * (0.0929803245489893 + x1 * (4.739077949578231 - x1)) * (x0 + 3321.465346573016 * exp(x0 * (2.0 - x0)))
kotanchek,5,Bingo,5,sympy,container,saturated,222.04091702587903,42.0,6.0,36.0,5.0,70.0,2.0,36.0,113.984375,(-0.00021014784984354508 * exp(x0 * (-2.0 + x0)) - 1.275565309954333e-05 * (3321.465346573016 + x0 * exp(x0 * (-2.0 + x0))) * (-0.092980324549141 + x1 * (-4.739077949578231 + x1))) * exp(x0 * (2.0 - x0))
kotanchek,6,Bingo,6,original,container,saturated,181.5510829910636,31.0,5.0,29.0,5.0,58.0,2.0,29.0,113.390625,0.051086010221981414 * x0 * (-3.1336047315918334 + x0) ** 2.0 - 0.004875727623836811 * x1 * (-16.203568238912545 + x1 ** 2.0) * (x1 + 0.3286374849396323 * (x0 - x0 ** 2.0))
kotanchek,6,Bingo,6,sympy,container,saturated,163.7218330288306,31.0,5.0,29.0,5.0,39.0,2.0,29.0,112.546875,-0.004875727623836811 * x1 * (x1 - 0.3286374849396323 * x0 * (-1.0 + x0)) * (-16.203568238912545 + x1 ** 2.0) + 0.05108601022198137 * x0 * (-3.1336047315918334 + x0) ** 2.0
kotanchek,7,Bingo,7,original,container,saturated,181.45983305294067,29.0,4.0,27.0,4.0,33.0,2.0,27.0,112.9375,0.02373272556048897 * x1 + 0.31519150907418003 * (3.536500867539311 - x0) / ((x0 - log(abs(x0))) * (exp(x0 - log(abs(x0))) - exp(-0.8913829801942106 / x1)))
kotanchek,7,Bingo,7,sympy,container,saturated,160.13258299790323,24.0,4.0,24.0,4.0,25.0,2.0,24.0,113.109375,0.02373272556048897 * x1 + 0.31519150907418003 * (-3.536500867539311 + x0) / ((x0 - log(x0)) * (exp(-0.8913829801942106 / x1) - exp(x0) / x0))
kotanchek,8,Bingo,8,original,container,saturated,161.95987502578646,24.0,5.0,22.0,5.0,32.0,2.0,22.0,112.796875,0.11720391936222797 * x1 * (0.6931234338478329 + x0 * (6.4849819024041455 - x0 - 0.6667403548542734 * (-1.3864562418418644 + x1) ** 2.0)) / exp(x0)
kotanchek,8,Bingo,8,sympy,container,saturated,156.62954200524837,26.0,5.0,24.0,5.0,29.0,2.0,24.0,113.15625,-0.11720391936222797 * x1 * (-0.6931234338478329 + x0 * (-6.4849819024041455 + x0 + 0.6667403548542733 * (-1.3864562418418644 + x1) ** 2.0)) * exp(-1.0 * x0)
kotanchek,9,Bingo,9,original,container,saturated,139.6677918964997,15.0,2.0,15.0,2.0,17.0,2.0,15.0,111.453125,exp(x0) / (3.396536372521252 + exp(exp(x0)) / (exp(x0) * (0.4137631538437465 + x1)))
kotanchek,9,Bingo,9,sympy,container,saturated,143.27029103878886,21.0,3.0,21.0,3.0,21.0,2.0,21.0,111.5,(0.4137631538437465 + x1) * exp(2.0 * x0) / (3.396536372521252 * exp(x0) * (0.4137631538437465 + x1) + exp(exp(x0)))
kotanchek,10,Bingo,10,original,container,saturated,226.7408330226317,30.0,3.0,30.0,3.0,88.0,2.0,30.0,113.671875,0.03943336488999562 * x1 * (x1 + x0 ** 2.0) / (0.12426947579595604 - log(abs(x1)) + 0.046906498950706255 * (x1 + 4.0 * x1 ** 2.0 + exp(x0 ** 2.0)))
kotanchek,10,Bingo,10,sympy,container,saturated,201.51129201985896,31.0,5.0,29.0,3.0,54.0,2.0,29.0,113.75,0.8406801993778281 * x1 * (x1 + x0 ** 2.0) / (2.649301878755651 + x1 + 4.0 * x1 ** 2.0 - 21.31900743755985 * log(x1) + exp(x0 ** 2.0))
kotanchek,11,Bingo,11,original,container,saturated,167.71799989510328,26.0,4.0,26.0,4.0,31.0,2.0,26.0,112.96875,0.2306440753250631 + (-1.1634241022901022 + 1.0 / exp(exp(-1.0 + x0))) * (1.2522488356336676 - exp(x0 / exp(exp(-1.0 + x0)))) + 0.03139967317000205 * x1
kotanchek,11,Bingo,11,sympy,container,saturated,177.19374992884696,44.0,4.0,42.0,4.0,40.0,2.0,42.0,112.984375,exp(-1.0 * exp(-1.0 + x0)) * (exp(exp(-1.0 + x0)) * (0.2306440753250631 + 0.03139967317000205 * x1) + (-1.2522488356336676 + exp(x0 * exp(-1.0 * exp(-1.0 + x0)))) * (-1.0 + 1.1634241022901022 * exp(exp(-1.0 + x0))))
kotanchek,12,Bingo,12,original,container,saturated,149.27158306818455,28.0,6.0,24.0,5.0,35.0,2.0,24.0,111.890625,(0.00822065460724008 + x0 ** 2.0) / exp(x0 ** 2.0) - 0.04106910574307527 * (0.36426566457643617 + x0 + 1.0611956406287764 * x1 * (-4.735723943783631 + x1))
kotanchek,12,Bingo,12,sympy,container,saturated,162.25820791441947,35.0,5.0,35.0,5.0,28.0,2.0,35.0,112.46875,(0.00822065460724008 + x0 ** 2.0 - (0.01496006509706177 + 0.04106910574307527 * x0 + I * pi + 0.04358235597907372 * x1 * (-4.735723943783631 + x1)) * exp(x0 ** 2.0)) * exp(-1.0 * x0 ** 2.0)
kotanchek,13,Bingo,13,original,container,saturated,155.56262503378093,21.0,7.0,17.0,5.0,44.0,2.0,17.0,112.234375,-0.08550552777558017 * (-3.1280699065741504 + x0 - 0.5689633079747608 * x1) / (0.5779839749676181 + (-1.142010252221088 + x0) ** 2.0)
kotanchek,13,Bingo,13,sympy,container,saturated,160.64720798749477,21.0,6.0,17.0,5.0,43.0,2.0,17.0,112.96875,-0.08550552777558015 * (-3.1280699065741504 + x0 - 0.5689633079747608 * x1) / (0.5779839749676181 + (-1.142010252221088 + x0) ** 2.0)
kotanchek,14,Bingo,14,original,container,saturated,167.84983302932233,22.0,5.0,22.0,5.0,34.0,2.0,22.0,112.03125,(-0.008870475378536939 - 0.0506336679649604 * x1) * log(abs(-9.541496629390634 + 2.0 * x1)) / (x0 - 0.3460574947000204 * (1.0326587094648079 + exp(x0)))
kotanchek,14,Bingo,14,sympy,container,saturated,159.6846249885857,23.0,5.0,21.0,5.0,35.0,2.0,21.0,112.03125,(0.008870475378536939 + 0.0506336679649604 * x1) * log(-9.541496629390634 + 2.0 * x1) / (0.35735928587754767 - x0 + 0.3460574947000204 * exp(x0))
kotanchek,15,Bingo,15,original,container,saturated,156.68545803055167,20.0,3.0,20.0,3.0,20.0,2.0,20.0,112.078125,-0.009079799107138235 + 0.973619601464109 / (-1.1573239810414302 + 1.0 / x1 ** 2.0 + exp(x0) - 2.0 * log(abs(x0)))
kotanchek,15,Bingo,15,sympy,container,saturated,138.75758298672736,19.0,3.0,19.0,3.0,19.0,2.0,19.0,111.28125,-0.009079799107138235 + 0.973619601464109 / (-1.1573239810414302 + exp(x0) + 1.0 / x1 ** 2.0 - 2.0 * log(x0))
kotanchek,16,Bingo,16,original,container,saturated,166.34862509090453,20.0,5.0,18.0,4.0,37.0,2.0,18.0,112.625,-5.9611827480310925e-05 - 0.11518537624350336 * (-0.09118792079643674 + x1 * (-4.739082076972427 + x1)) / exp((-1.0 + x0) ** 2.0)
kotanchek,16,Bingo,16,sympy,container,saturated,175.9967909893021,27.0,4.0,27.0,4.0,29.0,2.0,27.0,113.078125,(0.010503514965800351 - 0.11518537624350338 * x1 * (-4.739082076972427 + x1) - 5.9611827480310925e-05 * exp((-1.0 + x0) ** 2.0)) * exp(-1.0 * (-1.0 + x0) ** 2.0)
kotanchek,17,Bingo,17,original,container,saturated,157.96091698575765,37.0,4.0,35.0,4.0,27.0,2.0,35.0,112.671875,0.681112641117685 * exp(x0) * (-1.0 * exp(x0) + x0) * (-0.601686750816862 - x0 + 0.0635052950716775 * exp(x0) * (-1.0 * exp(x0) + x0) * (-0.17402614857984516 + x1)) / exp(exp(x0))
kotanchek,17,Bingo,17,sympy,container,saturated,160.06833396386355,30.0,4.0,30.0,4.0,21.0,2.0,30.0,111.40625,-0.681112641117685 * (x0 - exp(x0)) * (0.601686750816862 + x0 - 0.0635052950716775 * exp(x0) * (x0 - exp(x0)) * (-0.17402614857984516 + x1)) * exp(x0 - exp(x0))
kotanchek,18,Bingo,18,original,container,saturated,163.9845829922706,31.0,3.0,31.0,3.0,22.0,2.0,31.0,111.953125,(0.6342565001176109 + x0 * (exp(x0) - x0)) / (exp(x0) / exp(exp(x0) - x0) + 0.5982795866023631 * exp(exp(x0) - x0) + 1.9932377603672047 / x1 ** 2.0)
kotanchek,18,Bingo,18,sympy,container,saturated,218.25687494128942,48.0,3.0,42.0,3.0,90.0,2.0,42.0,113.0625,x1 ** 2.0 * exp(x0 - exp(x0)) * (0.6342565001176109 - x0 * (x0 - exp(x0))) / (1.9932377603672047 * exp(x0 - exp(x0)) + x1 ** 2.0 * (0.5982795866023631 + exp(3.0 * x0 - 2.0 * exp(x0))))
kotanchek,19,Bingo,19,original,container,saturated,177.7682499960065,26.0,4.0,22.0,4.0,31.0,2.0,22.0,113.015625,0.004874455021822982 * (0.6623280966084486 + x1) * (9.896181203737148 + (10.524866972388967 + x0) / exp(x0 * (-2.0 + x0)) - x1 ** 2.0)
kotanchek,19,Bingo,19,sympy,container,saturated,219.34612502809614,31.0,4.0,29.0,4.0,56.0,2.0,29.0,113.5625,0.004874455021822982 * (0.6623280966084486 + x1) * (10.524866972388967 + x0 + (9.896181203737148 - x1 ** 2.0) * exp(x0 * (-2.0 + x0))) * exp(x0 * (2.0 - x0))
kotanchek,20,Bingo,20,original,container,saturated,168.46795903984457,22.0,5.0,22.0,5.0,27.0,2.0,22.0,112.796875,-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 ** 2.0) * (-15.272972634101004 - 7.53747357012547 * x1) / exp(x0 ** 2.0))
kotanchek,20,Bingo,20,sympy,container,saturated,164.26645801402628,31.0,6.0,29.0,5.0,39.0,2.0,29.0,112.796875,(-0.03309619870833754 * exp(x0 ** 2.0) * (-3.8191503327783223 + x0) + 0.24946172303571493 * (0.03907279509253594 + x0 ** 2.0) * (2.026272131107024 + x1)) * exp(-1.0 * x0 ** 2.0)
kotanchek,21,Bingo,21,original,container,saturated,143.3443749556318,38.0,4.0,30.0,4.0,22.0,2.0,30.0,111.484375,0.35701166729086253 * (x0 + exp(x0)) / (exp(0.35701166729086253 * (x0 + exp(x0))) - log(abs(0.35701166729086253 * (x0 + exp(x0)))) - 0.17850583364543127 * x0 * exp(x0))
kotanchek,21,Bingo,21,sympy,container,saturated,159.67429103329778,33.0,5.0,29.0,4.0,28.0,2.0,29.0,112.984375,-0.35701166729086253 * (x0 + exp(x0)) / (-1.0299868162495163 + 0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * (x0 + exp(x0))) + log(x0 + exp(x0)))
kotanchek,22,Bingo,22,original,container,saturated,162.0304170064628,20.0,3.0,16.0,3.0,46.0,2.0,16.0,106.703125,0.6877488188414488 * exp(x0 * (2.0 - x0) - (0.8494111690013563 + x1) / (0.2000198424296049 + x1))
kotanchek,22,Bingo,22,sympy,container,saturated,178.91587491612881,26.0,4.0,22.0,4.0,28.0,2.0,22.0,111.953125,0.6877488188414488 * exp(-1.0 * (0.8494111690013563 + x1 - (0.2000198424296049 + x1) * x0 * (2.0 - x0)) / (0.2000198424296049 + x1))
kotanchek,23,Bingo,23,original,container,saturated,168.62891695927829,29.0,7.0,27.0,7.0,28.0,2.0,27.0,112.109375,2.5131784365055503 * (20.83283257582063 + x0 + 0.029475689425325854 * x1 - 0.6569808069960112 * (5.186033678881531 - x0) * (5.714201897136322 + x0 + 0.3979025068313296 * exp(x0))) / exp(x0)
kotanchek,23,Bingo,23,sympy,container,saturated,151.8884579418227,29.0,7.0,29.0,7.0,31.0,2.0,29.0,112.546875,(52.356625600882786 + 2.5131784365055503 * x0 + 0.07407766706486361 * x1 + 1.65110999734039 * (-5.186033678881531 + x0) * (5.714201897136322 + x0 + 0.3979025068313296 * exp(x0))) * exp(-1.0 * x0)
kotanchek,24,Bingo,24,original,container,saturated,162.10679104551673,40.0,8.0,38.0,8.0,44.0,2.0,38.0,113.109375,0.006514843839523813 + (0.012790360845057828 - 0.13720269441638683 * (x0 + x0 ** 2.0) * (2.4024045089083383 + x1)) / (-1.5068813313136211 - x0 ** 2.0 - 0.32506758388128154 * exp(x0 ** 2.0)) + exp(-1.5068813313136211 - 0.32506758388128154 * exp(x0 ** 2.0))
kotanchek,24,Bingo,24,sympy,container,saturated,168.38095802813768,38.0,8.0,38.0,8.0,43.0,2.0,38.0,113.03125,0.006514843839523813 + (-0.012790360845057828 + 0.13720269441638683 * (x0 ** 2.0 + x0) * (2.4024045089083383 + x1)) / (1.5068813313136211 + x0 ** 2.0 + 0.32506758388128154 * exp(x0 ** 2.0)) + 0.22159999840345782 * exp(-0.32506758388128154 * exp(x0 ** 2.0))
kotanchek,25,Bingo,25,original,container,saturated,173.33758401218802,28.0,5.0,26.0,5.0,25.0,2.0,26.0,112.75,0.042926148212222445 + 0.038206703422840375 * x0 * (5.566396182362499 + x0) * (0.011789883601234424 + x1) * (4.1139823128908555 - x1 + x0 ** 2.0) / exp(x0 ** 2.0)
kotanchek,25,Bingo,25,sympy,container,saturated,171.09904100652784,35.0,5.0,33.0,5.0,32.0,2.0,33.0,113.265625,(0.038206703422840375 * x0 * (5.566396182362499 + x0) * (0.011789883601234424 + x1) * (4.1139823128908555 - x1 + x0 ** 2.0) + 0.042926148212222445 * exp(x0 ** 2.0)) * exp(-1.0 * x0 ** 2.0)
pagie,0,Bingo,1,original,container,saturated,208.60549993813038,37.0,6.0,33.0,6.0,69.0,2.0,33.0,113.1875,0.5240322255066139 - 0.45351118068033663 * log(abs(-54.93119319072758 + 755.3723998652232 / log(abs(x0 * (-2.0 / x1 - 66438756992.645454 * x1))) + log(abs(x0 * (-2.0 / x1 - 66438756992.645454 * x1)))))
pagie,0,Bingo,1,sympy,container,saturated,217.4010000890121,34.0,6.0,30.0,6.0,110.0,2.0,30.0,113.609375,0.5240322255066139 - 0.45351118068033663 * log(-54.93119319072758 + log(x0 * (-2.0 / x1 - 66438756992.645454 * x1)) + 755.3723998652232 / log(x0 * (-2.0 / x1 - 66438756992.645454 * x1)))
