dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,original_expr,sympy_expr,raw_csv_index,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,n_params,n_rank,orig_live_status,sympy_live_status,orig_runtime_ms,sympy_runtime_ms,orig_rendered_haskell,orig_rendered_python,sympy_rendered_haskell,sympy_rendered_python,baseline_source
pagie,0,Bingo,Bingo,1,1,kept,0.5240322255066139 + (-0.45351118068033663)*(plog(-54.93119319072758 + (755.3723998652232)*((plog((-2)*((x0)*((x1)^(-1))) + (-66438756992.645454)*((x0)*(x1))))^(-1)) + plog((-2)*((x0)*((x1)^(-1))) + (-66438756992.645454)*((x0)*(x1))))),0.52403222550661389 - 0.45351118068033663*log(log(-x0*(66438756992.645454*x1 + 2/x1)) - 54.93119319072758 + 755.3723998652232/log(-x0*(66438756992.645454*x1 + 2/x1))),0,43,8,34,7,37,10,27,6,6.0,4.0,saturated,saturated,1.0e-3,0.0,(0.5240322255066139) + ((-0.45351118068033663) * (Log(Abs((Log(Abs((x0) * (((x1)^(-1)) + ((x1) * (3.3219378496322727e10)))))) + (((755.3723998652232) * ((Log(Abs((x0) * ((((x1)^(-1)) * (-2.0)) + ((x1) * (-6.6438756992645454e10))))))^(-1))) + (-54.238046010167636)))))),(0.5240322255066139 + (-0.45351118068033663 * log(abs((log(abs((x0 * ((x1 ** -1.0) + (x1 * 33219378496.322727))))) + ((755.3723998652232 * (log(abs((x0 * (((x1 ** -1.0) * -2.0) + (x1 * -66438756992.645454))))) ** -1.0)) + -54.238046010167636)))))),(0.5240322255066139) - ((0.45351118068033663) * (Log(Abs(((Log(Abs((x0) * ((x1) + ((3.010291117007793e-11) / (x1)))))) + (-30.011646777931055)) + ((755.3723998652232) / (Log(Abs((x0) * ((x1) * (6.6438756993145454e10)))))))))),(0.5240322255066139 - (0.45351118068033663 * log(abs(((log(abs((x0 * (x1 + (3.010291117007793e-11 / x1))))) + -30.011646777931055) + (755.3723998652232 / log(abs((x0 * (x1 * 66438756993.145454)))))))))),live_haskell
pagie,1,Bingo,Bingo,2,1,kept,0.04547093390683249 + (0.17516554602688977)*(plog((34.093055726490284)*((x0)*(x0)) + x1 + (-428.9738000218307)*(((x0)*(x0))*((x1)*(x1))))),0.17516554602688977*log(-428.9738000218307*x0**2*x1**2 + 34.093055726490284*x0**2 + x1) + 0.04547093390683249,1,23,4,19,4,25,5,17,4,4.0,4.0,saturated,saturated,1.0e-3,0.0,(4.547093390683249e-2) + ((0.17516554602688977) * (Log(Abs((x1) + ((x0) * ((x0) * ((34.093055726490284) + ((-428.9738000218307) * ((x1) * (x1)))))))))),(0.04547093390683249 + (0.17516554602688977 * log(abs((x1 + (x0 * (x0 * (34.093055726490284 + (-428.9738000218307 * (x1 * x1)))))))))),((0.17516554602688977) * (Log(Abs((x1) + (((x0)^(2)) * ((34.093055726490284) + (((x1)^(2)) * (-428.9738000218307)))))))) + (4.547093390683249e-2),((0.17516554602688977 * log(abs((x1 + ((x0 ** 2.0) * (34.093055726490284 + ((x1 ** 2.0) * -428.9738000218307))))))) + 0.04547093390683249),live_haskell
pagie,2,Bingo,Bingo,3,1,kept,((plog(1 - ((-4.620613175155346)*(-4.620613175155346))))^(-1))*(plog(1 + ((-0.7045923450774843)^(-1))*((x1)*(x0 + ((-4.620613175155346)*(-4.620613175155346) - (-0.7045923450774843))*(x0) + plog(-0.5941007048060543 + x0))) - (x0))),log(-x0 - 1.419260380823509*x1*(23.05465845949665*x0 + log(x0 - 0.5941007048060543)) + 1)/(3.013084160749133 + I*pi),2,27,5,23,5,23,6,21,5,5.0,5.0,saturated,saturated,1.0e-3,0.0,(0.331885850726245) * (Log(Abs(((1.0) + ((-1.4192603808235096) * ((x1) * (((x0) + ((x0) * (22.05465845949665))) + (Log(Abs((x0) + (-0.5941007048060543)))))))) - (x0)))),(0.331885850726245 * log(abs(((1.0 + (-1.4192603808235096 * (x1 * ((x0 + (x0 * 22.05465845949665)) + log(abs((x0 + -0.5941007048060543))))))) - x0)))),(Log(Abs((1.0) - ((x0) + (((1.419260380823509) * (x1)) * (((x0) * (23.05465845949665)) + (Log(Abs((x0) - (0.5941007048060543)))))))))) / (3.013084160749133),(log(abs((1.0 - (x0 + ((1.419260380823509 * x1) * ((x0 * 23.05465845949665) + log(abs((x0 - 0.5941007048060543))))))))) / 3.013084160749133),live_haskell
pagie,3,Bingo,Bingo,4,1,kept,(321.50462762611204)*((((-2588.281378882496)^(-1))*((x0)*(x1)) + plog((3323.2144588507704)*((x0)*(x1))) - (3.834139037636267))*(((((-2588.281378882496)^(-1))*((x0)*(x1)) + plog((3323.2144588507704)*((x0)*(x1))) - (-2588.281378882496 + 3.834139037636267 + plog(-2588.281378882496)))^(-1))*(plog(plog((3323.2144588507704)*((x0)*(x1))))))),321.50462762611204*(0.0003863567570971573*x0*x1 - log(x0*x1) - 4.2745487663580279)*log(log(x0*x1) + 8.1086878039942949)/(0.0003863567570971573*x0*x1 - log(x0*x1) - 2584.6971782746911 + I*pi),3,49,9,40,6,39,6,39,6,9.0,6.0,saturated,saturated,0.0,1.0e-3,(321.50462762611204) * (((((-3.8635675709715734e-4) * ((x0) * (x1))) + (Log(Abs((x0) * (x1))))) + (4.274548766358028)) * ((((((-3.8635675709715734e-4) * ((x0) * (x1))) + (Log(Abs((x0) * (x1))))) + (2584.697178274691))^(-1)) * (Log(Abs(Log(Abs(((x0) * (x1)) * (3323.2144588507704)))))))),(321.50462762611204 * ((((-0.00038635675709715734 * (x0 * x1)) + log(abs((x0 * x1)))) + 4.274548766358028) * (((((-0.00038635675709715734 * (x0 * x1)) + log(abs((x0 * x1)))) + 2584.697178274691) ** -1.0) * log(abs(log(abs(((x0 * x1) * 3323.2144588507704)))))))),(((321.50462762611204) * (((((3.863567570971573e-4) * (x0)) * (x1)) - (Log(Abs((x0) * (x1))))) - (4.274548766358028))) * (Log(Abs((Log(Abs((x0) * (x1)))) + (8.108687803994295))))) / (((((3.863567570971573e-4) * (x0)) * (x1)) - (Log(Abs((x0) * (x1))))) - (2584.697178274691)),(((321.50462762611204 * ((((0.0003863567570971573 * x0) * x1) - log(abs((x0 * x1)))) - 4.274548766358028)) * log(abs((log(abs((x0 * x1))) + 8.108687803994295)))) / ((((0.0003863567570971573 * x0) * x1) - log(abs((x0 * x1)))) - 2584.697178274691)),live_haskell
pagie,4,Bingo,Bingo,5,1,kept,-0.7617093798419142 + (0.3424256684358176)*(plog((x1)*((249.92555522398015)*(x0) + ((x1)^(-2))*(plog(x0)) - (x0 + x1)))),0.3424256684358176*log((x1**2*(248.92555522398015*x0 - x1) + log(x0))/x1) - 0.7617093798419142,4,23,3,22,3,21,3,20,3,3.0,3.0,saturated,saturated,0.0,0.0,(-0.7617093798419142) + ((0.3424256684358176) * (Log(Abs((x1) * ((((249.92555522398015) * (x0)) + (((x1)^(-2)) * (Log(Abs(x0))))) - ((x1) + (x0))))))),(-0.7617093798419142 + (0.3424256684358176 * log(abs((x1 * (((249.92555522398015 * x0) + ((x1 ** -2.0) * log(abs(x0)))) - (x1 + x0))))))),((0.3424256684358176) * (Log(Abs(((((x1)^(2)) * (((248.92555522398015) * (x0)) - (x1))) + (Log(Abs(x0)))) / (x1))))) - (0.7617093798419142),((0.3424256684358176 * log(abs(((((x1 ** 2.0) * ((248.92555522398015 * x0) - x1)) + log(abs(x0))) / x1)))) - 0.7617093798419142),live_haskell
pagie,5,Bingo,Bingo,6,1,kept,0.2033733319566922 + (0.0885895005060784)*(plog(((520439.72713022487)*(((x0)*(x0))*((28890.10432966032 + x0)^(-1))) + (-165.43872587343168)*(((x0)*(x0))*((x1)*(x1))) - (x1))*((520439.72713022487)*(((x0)*(x0))*((28890.10432966032 + x0)^(-1))) + (-165.43872587343168)*(((x0)*(x0))*((x1)*(x1))) - (x1)))),0.0885895005060784*log((-x0**2 + x1*(x0 + 28890.10432966032)*(0.00031788258514714704*x0**2*x1 + 1.9214520872842191e-6))**2/(3.461392830531733e-5*x0 + 1)**2) + 0.71562882269299686,5,53,8,43,8,37,8,31,7,8.0,5.0,saturated,saturated,0.0,0.0,(0.2033733319566922) + ((8.85895005060784e-2) * (Log(Abs((((x0) * ((x0) * (((520439.72713022487) * (((x0) + (28890.10432966032))^(-1))) + ((-165.43872587343168) * ((x1) * (x1)))))) - (x1)) * (((x0) * ((x0) * (((520439.72713022487) * (((x0) + (28890.10432966032))^(-1))) + ((-165.43872587343168) * ((x1) * (x1)))))) - (x1)))))),(0.2033733319566922 + (0.0885895005060784 * log(abs((((x0 * (x0 * ((520439.72713022487 * ((x0 + 28890.10432966032) ** -1.0)) + (-165.43872587343168 * (x1 * x1))))) - x1) * ((x0 * (x0 * ((520439.72713022487 * ((x0 + 28890.10432966032) ** -1.0)) + (-165.43872587343168 * (x1 * x1))))) - x1)))))),((8.85895005060784e-2) * (Log(Abs((((((x1) * ((x0) + (28890.10432966032))) * (((x1) * (((x0)^(2)) * (3.1788258514714706e-4))) + (1.921452087284219e-6))) - ((x0)^(2)))^(2)) / ((((x0) * (3.461392830531733e-5)) + (1.0))^(2)))))) + (0.7156288226929969),((0.0885895005060784 * log(abs((((((x1 * (x0 + 28890.10432966032)) * ((x1 * ((x0 ** 2.0) * 0.00031788258514714706)) + 1.921452087284219e-06)) - (x0 ** 2.0)) ** 2.0) / (((x0 * 3.461392830531733e-05) + 1.0) ** 2.0))))) + 0.7156288226929969),live_haskell
pagie,6,Bingo,Bingo,7,1,kept,(0.33963694568414915)*(plog((-35.167844692926785)*(((-1)*(((2)^(-1))*((1.1727867299483856)^(-1))))*((x0)*((58.20319882282552 + x0)*(x1))) + plog(x1)))) - (1.1727867299483856),0.33963694568414915*log(14.993282152192549*x0*x1*(x0 + 58.20319882282552) - 35.167844692926785*log(x1)) - 1.1727867299483856,6,21,5,19,4,21,5,19,4,6.0,4.0,saturated,saturated,0.0,1.0e-3,(0.33963694568414915) * ((Log(Abs(((-0.42633497398286985) * ((x0) * (((x0) + (58.20319882282552)) * (x1)))) + (Log(Abs(x1)))))) + (0.10707222600206379)),(0.33963694568414915 * (log(abs(((-0.42633497398286985 * (x0 * ((x0 + 58.20319882282552) * x1))) + log(abs(x1))))) + 0.10707222600206379)),(0.33963694568414915) * ((Log(Abs(((x0) * ((x1) * ((x0) + (58.20319882282552)))) - ((Log(Abs(x1))) * (2.3455734598967712))))) + (-0.7454576917979261)),(0.33963694568414915 * (log(abs(((x0 * (x1 * (x0 + 58.20319882282552))) - (log(abs(x1)) * 2.3455734598967712)))) + -0.7454576917979261)),live_haskell
pagie,7,Bingo,Bingo,8,1,kept,(0.3219453819768659)*(4.881341193040894 + (0.006998797255225593)*(x0) + (-3.3010592991000216)*(exp((-0.7560873364652252)*((x0)*(x0)))) + plog(x1)),0.002253230455712244*x0 + 0.3219453819768659*log(x1) + 1.571525254952961 - 1.0627607969770417*exp(-0.7560873364652252*x0**2),7,20,5,20,5,22,6,19,5,5.0,5.0,saturated,saturated,0.0,0.0,(0.3219453819768659) * ((((4.8813411930408925) + ((6.99879725522559e-3) * (x0))) + ((-3.301059299100023) * (Exp((-0.7560873364652252) * ((x0) * (x0)))))) + (Log(Abs(x1)))),(0.3219453819768659 * (((4.8813411930408925 + (0.00699879725522559 * x0)) + (-3.301059299100023 * exp((-0.7560873364652252 * (x0 * x0))))) + log(abs(x1)))),((((2.253230455712244e-3) * (x0)) + ((0.3219453819768659) * (Log(Abs(x1))))) + (1.5715252549529608)) - ((1.0627607969770416) * (Exp(((x0)^(2)) * (-0.7560873364652252)))),((((0.002253230455712244 * x0) + (0.3219453819768659 * log(abs(x1)))) + 1.5715252549529608) - (1.0627607969770416 * exp(((x0 ** 2.0) * -0.7560873364652252)))),live_haskell
pagie,8,Bingo,Bingo,9,1,kept,(-0.0016845463969705932)*((plog(x1 + (-5504.7494866201905)*((x0)*(x1))))*(35.98329321843688 + (-0.17812022427202742)*(35.98329321843688 + x0) + (-12.262360262937122)*(plog(x1 + (-5504.7494866201905)*((x0)*(x1)))))),(0.00030005178202503779*x0 + 0.020656514799286105*log(x1*(1 - 5504.7494866201905*x0)) - 0.049818675688932783)*log(x1*(1 - 5504.7494866201905*x0)),8,31,7,27,5,27,7,25,6,7.0,5.0,saturated,saturated,0.0,1.0e-3,((x0) + (((Log(Abs((x1) + ((-5504.7494866201905) * ((x0) * (x1)))))) * (68.84316653570957)) + (-166.03359377740895))) * ((Log(Abs((x1) + ((-5504.7494866201905) * ((x0) * (x1)))))) * (3.000517820250378e-4)),((x0 + ((log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))) * 68.84316653570957) + -166.03359377740895)) * (log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))) * 0.0003000517820250378)),(2.0656514799286103e-2) * ((Log(Abs((x1) * ((1.0) - ((x0) * (5504.7494866201905)))))) * ((Log(Abs((x1) * ((1.816613094620552e-4) - (x0))))) + (((x0) * (1.4525769953961822e-2)) + (6.2016007537634605)))),(0.020656514799286103 * (log(abs((x1 * (1.0 - (x0 * 5504.7494866201905))))) * (log(abs((x1 * (0.0001816613094620552 - x0)))) + ((x0 * 0.014525769953961822) + 6.2016007537634605)))),live_haskell
pagie,9,Bingo,Bingo,10,1,kept,(-1647.7560776017172)*((plog(x1 + (-5504.7201863492755)*((x0)*(x1))))*(3.021827100299453e-05 + (-1.2535194814297265e-05)*(plog(x1 + (-5504.7201863492755)*((x0)*(x1)))))),(0.020654943439179847*log(x1*(1 - 5504.7201863492755*x0)) - 0.049792339699799975)*log(x1*(1 - 5504.7201863492755*x0)),9,25,5,23,4,23,6,21,5,5.0,4.0,saturated,saturated,1.0e-3,1.0e-3,((Log(Abs((x1) + ((-5504.7201863492755) * ((x1) * (x0)))))) + (-2.410674221714407)) * ((Log(Abs((x1) + ((-5504.7201863492755) * ((x1) * (x0)))))) * (2.0654943439179847e-2)),((log(abs((x1 + (-5504.7201863492755 * (x1 * x0))))) + -2.410674221714407) * (log(abs((x1 + (-5504.7201863492755 * (x1 * x0))))) * 0.020654943439179847)),(2.0654943439179847e-2) * ((Log(Abs((x1) * ((1.0) - ((5504.7201863492755) * (x0)))))) * ((Log(Abs((x1) * ((x0) + (-1.816622764005011e-4))))) + (6.202686997149495))),(0.020654943439179847 * (log(abs((x1 * (1.0 - (5504.7201863492755 * x0))))) * (log(abs((x1 * (x0 + -0.0001816622764005011)))) + 6.202686997149495))),live_haskell
