dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,original_expr,sympy_expr,raw_csv_index,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,n_params,n_rank
pagie,0,Bingo,Bingo,1,1,kept,0.5240322255066139 + (-0.45351118068033663)*(plog(-54.93119319072758 + (755.3723998652232)*((plog((-2)*((x0)*((x1)^(-1))) + (-66438756992.645454)*((x0)*(x1))))^(-1)) + plog((-2)*((x0)*((x1)^(-1))) + (-66438756992.645454)*((x0)*(x1))))),0.52403222550661389 - 0.45351118068033663*log(log(-x0*(66438756992.645454*x1 + 2/x1)) - 54.93119319072758 + 755.3723998652232/log(-x0*(66438756992.645454*x1 + 2/x1))),0,43.0,8.0,36.0,8.0,37.0,10.0,33.0,8.0,6.0,4.0
pagie,1,Bingo,Bingo,2,1,kept,0.04547093390683249 + (0.17516554602688977)*(plog((34.093055726490284)*((x0)*(x0)) + x1 + (-428.9738000218307)*(((x0)*(x0))*((x1)*(x1))))),0.17516554602688977*log(-428.9738000218307*x0**2*x1**2 + 34.093055726490284*x0**2 + x1) + 0.04547093390683249,1,23.0,4.0,19.0,4.0,25.0,5.0,17.0,4.0,4.0,4.0
pagie,2,Bingo,Bingo,3,1,kept,((plog(1 - ((-4.620613175155346)*(-4.620613175155346))))^(-1))*(plog(1 + ((-0.7045923450774843)^(-1))*((x1)*(x0 + ((-4.620613175155346)*(-4.620613175155346) - (-0.7045923450774843))*(x0) + plog(-0.5941007048060543 + x0))) - (x0))),log(-x0 - 1.419260380823509*x1*(23.05465845949665*x0 + log(x0 - 0.5941007048060543)) + 1)/(3.013084160749133 + I*pi),2,27.0,5.0,23.0,5.0,23.0,6.0,21.0,5.0,5.0,5.0
pagie,3,Bingo,Bingo,4,1,kept,(321.50462762611204)*((((-2588.281378882496)^(-1))*((x0)*(x1)) + plog((3323.2144588507704)*((x0)*(x1))) - (3.834139037636267))*(((((-2588.281378882496)^(-1))*((x0)*(x1)) + plog((3323.2144588507704)*((x0)*(x1))) - (-2588.281378882496 + 3.834139037636267 + plog(-2588.281378882496)))^(-1))*(plog(plog((3323.2144588507704)*((x0)*(x1))))))),321.50462762611204*(0.0003863567570971573*x0*x1 - log(x0*x1) - 4.2745487663580279)*log(log(x0*x1) + 8.1086878039942949)/(0.0003863567570971573*x0*x1 - log(x0*x1) - 2584.6971782746911 + I*pi),3,49.0,9.0,44.0,8.0,39.0,6.0,39.0,6.0,9.0,6.0
pagie,4,Bingo,Bingo,5,1,kept,-0.7617093798419142 + (0.3424256684358176)*(plog((x1)*((249.92555522398015)*(x0) + ((x1)^(-2))*(plog(x0)) - (x0 + x1)))),0.3424256684358176*log((x1**2*(248.92555522398015*x0 - x1) + log(x0))/x1) - 0.7617093798419142,4,23.0,3.0,22.0,3.0,21.0,3.0,20.0,3.0,3.0,3.0
pagie,5,Bingo,Bingo,6,1,kept,0.2033733319566922 + (0.0885895005060784)*(plog(((520439.72713022487)*(((x0)*(x0))*((28890.10432966032 + x0)^(-1))) + (-165.43872587343168)*(((x0)*(x0))*((x1)*(x1))) - (x1))*((520439.72713022487)*(((x0)*(x0))*((28890.10432966032 + x0)^(-1))) + (-165.43872587343168)*(((x0)*(x0))*((x1)*(x1))) - (x1)))),0.0885895005060784*log((-x0**2 + x1*(x0 + 28890.10432966032)*(0.00031788258514714704*x0**2*x1 + 1.9214520872842191e-6))**2/(3.461392830531733e-5*x0 + 1)**2) + 0.71562882269299686,5,53.0,8.0,43.0,8.0,37.0,8.0,31.0,7.0,8.0,5.0
pagie,6,Bingo,Bingo,7,1,kept,(0.33963694568414915)*(plog((-35.167844692926785)*(((-1)*(((2)^(-1))*((1.1727867299483856)^(-1))))*((x0)*((58.20319882282552 + x0)*(x1))) + plog(x1)))) - (1.1727867299483856),0.33963694568414915*log(14.993282152192549*x0*x1*(x0 + 58.20319882282552) - 35.167844692926785*log(x1)) - 1.1727867299483856,6,21.0,5.0,21.0,5.0,21.0,5.0,21.0,5.0,6.0,4.0
pagie,7,Bingo,Bingo,8,1,kept,(0.3219453819768659)*(4.881341193040894 + (0.006998797255225593)*(x0) + (-3.3010592991000216)*(exp((-0.7560873364652252)*((x0)*(x0)))) + plog(x1)),0.002253230455712244*x0 + 0.3219453819768659*log(x1) + 1.571525254952961 - 1.0627607969770417*exp(-0.7560873364652252*x0**2),7,20.0,5.0,20.0,5.0,22.0,6.0,19.0,5.0,5.0,5.0
pagie,8,Bingo,Bingo,9,1,kept,(-0.0016845463969705932)*((plog(x1 + (-5504.7494866201905)*((x0)*(x1))))*(35.98329321843688 + (-0.17812022427202742)*(35.98329321843688 + x0) + (-12.262360262937122)*(plog(x1 + (-5504.7494866201905)*((x0)*(x1)))))),(0.00030005178202503779*x0 + 0.020656514799286105*log(x1*(1 - 5504.7494866201905*x0)) - 0.049818675688932783)*log(x1*(1 - 5504.7494866201905*x0)),8,31.0,7.0,27.0,5.0,27.0,7.0,27.0,7.0,7.0,5.0
pagie,9,Bingo,Bingo,10,1,kept,(-1647.7560776017172)*((plog(x1 + (-5504.7201863492755)*((x0)*(x1))))*(3.021827100299453e-05 + (-1.2535194814297265e-05)*(plog(x1 + (-5504.7201863492755)*((x0)*(x1)))))),(0.020654943439179847*log(x1*(1 - 5504.7201863492755*x0)) - 0.049792339699799975)*log(x1*(1 - 5504.7201863492755*x0)),9,25.0,5.0,23.0,4.0,23.0,6.0,23.0,6.0,5.0,4.0
pagie,10,Bingo,Bingo,11,1,kept,1.1892515725526536 + (-1.529035305818532 + exp(plog((x0)*(x1))))*(0.2778146070096167 + (6.532680622052586e-05)*(x0) + (-0.07902303898937542)*(plog((x0)*(x1)))),(x0*x1 - 1.529035305818532)*(6.532680622052586e-5*x0 - 0.07902303898937542*log(x0*x1) + 0.2778146070096167) + 1.1892515725526536,10,24.0,5.0,22.0,5.0,21.0,5.0,21.0,5.0,5.0,5.0
pagie,11,Bingo,Bingo,12,1,kept,(0.32709300308221473)*(plog((2.8938067344221365)*(x0) + (33.37981491587227)*((x0)*(x1)) - (exp(0.32709300308221473)))),0.32709300308221473*log(33.37981491587227*x0*x1 + 2.8938067344221365*x0 - 1.3869304599899063),11,15.0,4.0,13.0,4.0,15.0,4.0,13.0,4.0,4.0,4.0
pagie,12,Bingo,Bingo,13,1,kept,0.46055102457050884 + (-11903.1935774518 + ((x0)^(-1))*(exp(x1)))*((-9960.615166624408 + (-8736.856642285593)*((x1)^(-2)) + ((x0)^(-1))*(exp(x1)))^(-1)) + (0.3353899762817782)*(plog(x0)),(11903.1935774518 - exp(x1)/x0)/(9960.615166624408 + 8736.856642285593/x1**2 - exp(x1)/x0) + 0.3353899762817782*log(x0) + 0.46055102457050884,12,33.0,5.0,29.0,5.0,27.0,5.0,26.0,5.0,5.0,5.0
pagie,13,Bingo,Bingo,14,1,kept,-3.6628323446084137 + (-140960.10336012763)*(((-1951.8497630927013 + x0)^(-1))*((plog(((x0)^(-1))*(-38271.243311540704 + (-3434828.851252485)*((x1)^(-1)) + (-66329.49759041717)*(x1))))^(-1))),-3.6628323446084137 - 140960.10336012763/((x0 - 1951.8497630927013)*log(-(66329.49759041717*x1 + 38271.243311540704 + 3434828.851252485/x1)/x0)),13,29.0,6.0,25.0,6.0,23.0,7.0,21.0,6.0,6.0,6.0
pagie,14,Bingo,Bingo,15,1,kept,-0.3615909827079473 - ((-0.3615909827079473 + (-0.15940944833036993 + (0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))*(0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0))))*(-0.15940944833036993 + (0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))*(0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))))*(plog((-242.5021661422168)*(x1)))),-(0.3156573931905898*((0.069750688335342645*x0**2 - 1)**2 - 0.28373053437106359)**2 - 0.3615909827079473)*(log(-x1) + 5.491010642882867) - 0.3615909827079473,14,45.0,13.0,39.0,10.0,29.0,9.0,24.0,8.0,13.0,6.0
pagie,15,Bingo,Bingo,16,1,kept,(-0.0016724665952508537)*(292.42415431458545 + x1 + ((-1)*((-314.9892428270721)^(-1)))*((((x0)^(-1))*((x1)^(-1)))*((39.54832653926522 + x1)*(plog((-314.9892428270721)*((x0)*(x1)))))) + (-240.49898207944213)*(plog((-314.9892428270721)*((x0)*((x1)*((plog((-314.9892428270721)*((x0)*(x1))))^(-1))))))),(x0*x1*(-0.0016724665952508537*x1 + 0.40222651371970066*log(-x0*x1/(log(-x0*x1) + 5.75253848848719)) + 1.8247538715269739) - 5.3095990842107314e-6*(x1 + 39.54832653926522)*(log(-x0*x1) + 5.75253848848719))/(x0*x1),15,47.0,8.0,44.0,8.0,51.0,11.0,49.0,10.0,8.0,7.0
