dataset,raw_index,algorithm_raw,algo_row,input_kind,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,peak_rss_mb,rendered
kotanchek,0,Bingo,1,original,saturated,0.001,36.0,7.0,30.0,5.0,503.265625,(x0 + x1) * -0.020073090501122326 + (0.11064466475608076 + 0.7130721978492759 * ((0.022522799045566234 + x0 * x0) * (x0 * x0 + 0.5 * (x1 ** (-1.0) * exp(x0 * x0))) ** (-1.0)))
kotanchek,0,Bingo,1,sympy,saturated,0.0,47.0,8.0,38.0,6.0,484.96875,(1.42614439569855 * x1 * (x0 ** 2.0 + 0.022522799045566234) + (x1 * (2.0 * x0 ** 2.0) + exp(x0 ** 2.0)) * (-0.020073090501122322 * (x1 + x0) + 0.11064466475608078)) / (x1 * (2.0 * x0 ** 2.0) + exp(x0 ** 2.0))
kotanchek,2,Bingo,2,original,saturated,0.001,51.0,11.0,24.0,5.0,482.265625,0.12833632981483378 * ((x0 + 0.5717467226489543 * log(abs(-1.4718669975763585 + -14.792753236262874 * x1 + exp(x1)))) * (exp(x0) + x0 * -2.0678277294438554) ** (-1.0))
kotanchek,2,Bingo,2,sympy,saturated,0.0,27.0,7.0,23.0,5.0,500.203125,0.0733758759684265 * ((x0 * -1.7490262040627176 - log(abs(exp(x1) - x1 * 14.792753236262874 - 1.4718669975763585))) / (x0 * 2.0678277294438554 - exp(x0)))
kotanchek,3,Bingo,3,original,saturated,0.001,24.0,6.0,21.0,5.0,492.0,-0.01768299095097286 + -0.799049025992938 * (x0 * x0 * exp(x0 * 2.0) ** (-1.0) * (x1 * (x1 + -4.734655034994491) + -0.3212108877413568))
kotanchek,3,Bingo,3,sympy,saturated,0.001,29.0,8.0,24.0,6.0,500.4375,(x0 ** 2.0 * (0.2566632469880581 - 0.7990490259929379 * x1 * (x1 - 4.734655034994491)) - 0.01768299095097286 * exp(x0 * 2.0)) * exp(x0 * -2.0)
kotanchek,4,Bingo,4,original,saturated,0.001,22.0,4.0,19.0,4.0,505.265625,-0.03144312866911644 * (-3.0969157782045578 + -31.196859437348742 * (x0 * (-0.044758903858526766 + x0 * exp(x0 * x0) ** (-1.0))) - x1)
kotanchek,4,Bingo,4,sympy,saturated,0.0,22.0,5.0,20.0,5.0,503.359375,0.9809268653608959 * x0 ** 2.0 * exp(x0 ** 2.0 * -1.0000000000000002) - x0 * 0.043905211258934373 + 0.03144312866911644 * x1 + 0.09737672129150277
kotanchek,5,Bingo,5,original,saturated,0.0,28.0,8.0,24.0,6.0,488.390625,-0.00021014784984354508 + (x1 * (4.739077949578231 - x1) + 0.0929803245489893) * ((x0 + exp(x0 * 2.0 - x0 * x0) * 3321.465346573016) * 1.275565309954333e-05)
kotanchek,5,Bingo,5,sympy,saturated,0.001,40.0,10.0,36.0,8.0,485.09375,(1.275565309954333e-05 * ((x0 * exp(x0 * (x0 - 2.0)) + 3321.465346573016) * (x1 * (4.739077949578231 - x1) + 0.092980324549141)) + exp(x0 * (x0 - 2.0)) * -0.00021014784984354508) * exp(x0 * (2.0 - x0))
kotanchek,6,Bingo,6,original,saturated,0.001,35.0,7.0,31.0,6.0,489.125,x0 * (0.051086010221981414 * ((x0 + -3.1336047315918334) * (x0 + -3.1336047315918334))) + x1 * ((0.07900418526719069 + x1 * x1 * -0.004875727623836811) * (x1 + 0.3286374849396323 * (x0 - x0 * x0)))
kotanchek,6,Bingo,6,sympy,saturated,0.001,33.0,8.0,29.0,7.0,512.265625,0.50163798484191 * x0 * (x0 * 0.3191212950115799 - 1.0) ** 2.0 - x1 * (0.004875727623836811 * x1 ** 2.0 - 0.07900418526719069) * (x1 + x0 * (0.3286374849396323 * (1.0 - x0)))
kotanchek,7,Bingo,7,original,saturated,0.001,33.0,4.0,30.0,4.0,485.046875,0.02373272556048897 * x1 + 0.31519150907418003 * ((3.536500867539311 - x0) * ((exp(x0 - log(abs(x0))) - exp(-0.8913829801942106 * x1 ** (-1.0))) ** (-1.0) * (x0 - log(abs(x0))) ** (-1.0)))
kotanchek,7,Bingo,7,sympy,saturated,0.001,27.0,5.0,25.0,4.0,510.203125,0.02373272556048897 * x1 + 0.31519150907418003 * (x0 - 3.536500867539311) / ((x0 - log(abs(x0))) * (exp(-0.8913829801942106 / x1) - exp(x0) / x0))
kotanchek,8,Bingo,8,original,saturated,0.0,26.0,6.0,25.0,6.0,484.28125,0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * ((x1 + -1.3864562418418644) * (x1 + -1.3864562418418644)) - x0)) * exp(x0) ** (-1.0)))
kotanchek,8,Bingo,8,sympy,saturated,0.001,28.0,8.0,25.0,7.0,491.1875,0.11720391936222797 * x1 * (exp(-1.0 * x0) * (0.6931234338478329 - x0 * (x0 + 1.2816489216174494 * (-1.0 + x1 * 0.7212632969011202) ** 2.0 - 6.4849819024041455)))
kotanchek,9,Bingo,9,original,saturated,0.001,21.0,2.0,18.0,2.0,495.03125,exp(x0) * (3.396536372521252 + (0.4137631538437465 + x1) ** (-1.0) * (exp(x0) ** (-1.0) * exp(exp(x0)))) ** (-1.0)
kotanchek,9,Bingo,9,sympy,saturated,0.001,21.0,4.0,21.0,4.0,488.234375,(x1 + 0.4137631538437465) * exp(2.0 * x0) / ((x1 + 0.4137631538437465) * 3.396536372521252 * exp(x0) + exp(exp(x0)))
kotanchek,10,Bingo,10,original,saturated,0.001,32.0,4.0,31.0,4.0,502.28125,0.03943336488999562 * (x1 * ((x1 + x0 * x0) * (0.12426947579595604 + 0.046906498950706255 * (x1 + 4.0 * (x1 * x1) + exp(x0 * x0)) - log(abs(x1))) ** (-1.0)))
kotanchek,10,Bingo,10,sympy,saturated,0.001,32.0,5.0,27.0,4.0,503.265625,0.03943336488999562 * x1 * (x1 + x0 ** 2.0) / (0.18762599580282502 * (x1 ** 2.0 + 0.25 * (x1 + exp(x0 ** 2.0))) - log(abs(x1)) + 0.12426947579595604)
kotanchek,11,Bingo,11,original,saturated,0.001,28.0,6.0,26.0,6.0,502.125,0.2306440753250631 + 0.03139967317000205 * x1 + (-1.1634241022901022 + exp(exp(-1.0 + x0)) ** (-1.0)) * (1.2522488356336676 - exp(x0 * exp(exp(-1.0 + x0)) ** (-1.0)))
kotanchek,11,Bingo,11,sympy,saturated,0.001,42.0,11.0,42.0,11.0,491.953125,exp(exp(x0 - 1.0) * -1.0) * ((0.03139967317000205 * x1 + 0.2306440753250631) * exp(exp(x0 - 1.0)) + (exp(x0 * exp(exp(x0 - 1.0) * -1.0)) + -1.2522488356336676) * (-1.0 + exp(exp(x0 - 1.0)) * 1.1634241022901022))
kotanchek,12,Bingo,12,original,saturated,0.001,30.0,6.0,25.0,5.0,502.21875,(0.00822065460724008 + x0 * x0) * exp(x0 * x0) ** (-1.0) + -0.04106910574307527 * (x0 + (1.0611956406287764 * (x1 * (x1 + -4.735723943783631)) + 0.36426566457643617))
kotanchek,12,Bingo,12,sympy,saturated,0.001,31.0,6.0,28.0,6.0,507.015625,(x0 ** 2.0 - (x0 * 0.041069105743075256 + 0.04358235597907372 * x1 * (x1 - 4.735723943783631) + 0.014960065097061765) * exp(x0 ** 2.0) + 0.00822065460724008) * exp(x0 ** 2.0 * -1.0)
kotanchek,13,Bingo,13,original,saturated,0.001,27.0,9.0,22.0,7.0,518.046875,(69920813446.957 + (x0 + -1.142010252221088) * ((x0 + -1.142010252221088) * 120973619469.0767)) ** (-1.0) * (32356483533.402573 + x0 * -10343913179.625605 + 5885307060.083509 * x1)
kotanchek,13,Bingo,13,sympy,saturated,0.001,23.0,8.0,18.0,6.0,508.21875,(x1 + (5.4978411836583865 - x0 * 1.7575825821871098)) * (0.03730254358372011 / ((-1.0 + x0 * 0.8756488814834252) ** 2.0 + 0.4431755496164828))
kotanchek,14,Bingo,14,original,saturated,0.0,24.0,6.0,23.0,6.0,485.234375,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + x1 * 2.0)))
kotanchek,14,Bingo,14,sympy,saturated,0.001,24.0,7.0,22.0,6.0,482.203125,(0.0506336679649604 * x1 + 0.008870475378536939) * log(abs(x1 * 2.0 - 9.541496629390634)) / (0.3460574947000204 * exp(x0) + (0.35735928587754767 - x0))
kotanchek,15,Bingo,15,original,saturated,0.001,20.0,4.0,18.0,4.0,490.453125,-0.009079799107138235 + 0.973619601464109 * (-1.1573239810414302 + x1 ** (-2.0) + exp(x0) + -2.0 * log(abs(x0))) ** (-1.0)
