,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,algorithm,n_params,n_rank
0,43.0,8.0,36.0,8.0,37.0,10.0,33.0,8.0,Bingo,6.0,4.0
1,23.0,4.0,19.0,4.0,25.0,5.0,17.0,4.0,Bingo,4.0,4.0
2,27.0,5.0,23.0,5.0,23.0,6.0,21.0,5.0,Bingo,5.0,5.0
3,49.0,9.0,44.0,8.0,39.0,6.0,39.0,6.0,Bingo,9.0,6.0
4,23.0,3.0,22.0,3.0,21.0,3.0,20.0,3.0,Bingo,3.0,3.0
5,53.0,8.0,43.0,8.0,37.0,8.0,31.0,7.0,Bingo,8.0,5.0
6,21.0,5.0,21.0,5.0,21.0,5.0,21.0,5.0,Bingo,6.0,4.0
7,20.0,5.0,20.0,5.0,22.0,6.0,19.0,5.0,Bingo,5.0,5.0
8,31.0,7.0,27.0,5.0,27.0,7.0,27.0,7.0,Bingo,7.0,5.0
9,25.0,5.0,23.0,4.0,23.0,6.0,23.0,6.0,Bingo,5.0,4.0
10,24.0,5.0,22.0,5.0,21.0,5.0,21.0,5.0,Bingo,5.0,5.0
11,15.0,4.0,13.0,4.0,15.0,4.0,13.0,4.0,Bingo,4.0,4.0
12,33.0,5.0,29.0,5.0,27.0,5.0,26.0,5.0,Bingo,5.0,5.0
13,29.0,6.0,25.0,6.0,23.0,7.0,21.0,6.0,Bingo,6.0,6.0
14,45.0,13.0,39.0,10.0,29.0,9.0,24.0,8.0,Bingo,13.0,6.0
15,47.0,8.0,44.0,8.0,51.0,11.0,49.0,10.0,Bingo,8.0,7.0
16,49.0,13.0,36.0,9.0,53.0,15.0,36.0,9.0,Bingo,12.0,10.0
17,23.0,5.0,21.0,4.0,23.0,5.0,21.0,4.0,Bingo,5.0,4.0
18,25.0,6.0,23.0,5.0,27.0,7.0,23.0,5.0,Bingo,6.0,5.0
19,39.0,6.0,32.0,5.0,29.0,5.0,27.0,5.0,Bingo,6.0,5.0
20,43.0,7.0,39.0,7.0,27.0,4.0,24.0,4.0,Bingo,7.0,3.0
21,27.0,5.0,27.0,5.0,29.0,6.0,27.0,5.0,Bingo,4.0,4.0
22,27.0,5.0,23.0,5.0,27.0,6.0,27.0,6.0,Bingo,5.0,4.0
23,29.0,5.0,23.0,5.0,23.0,6.0,21.0,5.0,Bingo,5.0,4.0
24,20.0,4.0,19.0,4.0,16.0,3.0,16.0,3.0,Bingo,4.0,3.0
25,16.0,4.0,16.0,4.0,18.0,5.0,13.0,3.0,Bingo,3.0,2.0
26,53.0,11.0,49.0,11.0,77.0,20.0,60.0,14.0,Bingo,11.0,8.0
27,41.0,7.0,37.0,7.0,55.0,10.0,43.0,7.0,Bingo,7.0,7.0
28,17.0,2.0,16.0,2.0,15.0,2.0,15.0,2.0,Bingo,2.0,2.0
29,27.0,6.0,25.0,5.0,27.0,6.0,25.0,5.0,Bingo,6.0,4.0
