implementation,algorithm_raw,algorithm,algo_row,node_count,after_nodes,runtime_ms,status
Archived Haskell,,,,45,,212.200000000,archived_benchmark
Archived Haskell,,,,41,,16.150000000,archived_benchmark
Archived Haskell,,,,34,,193.600000000,archived_benchmark
Archived Haskell,,,,48,,717.900000000,archived_benchmark
Archived Haskell,,,,37,,26.040000000,archived_benchmark
Archived Haskell,,,,45,,199.100000000,archived_benchmark
Archived Haskell,,,,25,,117.200000000,archived_benchmark
Archived Haskell,,,,38,,186.800000000,archived_benchmark
Archived Haskell,,,,41,,23.130000000,archived_benchmark
Archived Haskell,,,,44,,51.680000000,archived_benchmark
Archived Haskell,,,,40,,160.200000000,archived_benchmark
Archived Haskell,,,,25,,5.692000000,archived_benchmark
Archived Haskell,,,,43,,92.390000000,archived_benchmark
Archived Haskell,,,,44,,271.000000000,archived_benchmark
Archived Haskell,,,,32,,89.710000000,archived_benchmark
Archived Haskell,,,,45,,35.770000000,archived_benchmark
Archived Haskell,,,,37,,35.700000000,archived_benchmark
Archived Haskell,,,,45,,23.800000000,archived_benchmark
Archived Haskell,,,,28,,4.230000000,archived_benchmark
Archived Haskell,,,,41,,188.800000000,archived_benchmark
Archived Haskell,,,,41,,74.220000000,archived_benchmark
Archived Haskell,,,,40,,15.480000000,archived_benchmark
Archived Haskell,,,,45,,204.600000000,archived_benchmark
Archived Haskell,,,,33,,285.500000000,archived_benchmark
Archived Haskell,,,,48,,30.500000000,archived_benchmark
Archived Haskell,,,,45,,109.400000000,archived_benchmark
Archived Haskell,,,,43,,27.120000000,archived_benchmark
Archived Haskell,,,,48,,65.540000000,archived_benchmark
Archived Haskell,,,,36,,14.420000000,archived_benchmark
Archived Haskell,,,,48,,29.450000000,archived_benchmark
Archived Haskell,,,,19,,442.100000000,archived_benchmark
Archived Haskell,,,,17,,52.570000000,archived_benchmark
Archived Haskell,,,,17,,70.240000000,archived_benchmark
Archived Haskell,,,,19,,243.000000000,archived_benchmark
Archived Haskell,,,,19,,340.200000000,archived_benchmark
Archived Haskell,,,,19,,128.100000000,archived_benchmark
Archived Haskell,,,,17,,53.480000000,archived_benchmark
Archived Haskell,,,,16,,115.200000000,archived_benchmark
Archived Haskell,,,,19,,237.200000000,archived_benchmark
Archived Haskell,,,,14,,47.630000000,archived_benchmark
Archived Haskell,,,,17,,53.940000000,archived_benchmark
Archived Haskell,,,,20,,93.280000000,archived_benchmark
Archived Haskell,,,,16,,129.500000000,archived_benchmark
Archived Haskell,,,,19,,107.900000000,archived_benchmark
Archived Haskell,,,,19,,327.000000000,archived_benchmark
Archived Haskell,,,,19,,317.200000000,archived_benchmark
Archived Haskell,,,,21,,320.700000000,archived_benchmark
Archived Haskell,,,,21,,313.500000000,archived_benchmark
Archived Haskell,,,,21,,123.100000000,archived_benchmark
Archived Haskell,,,,17,,57.440000000,archived_benchmark
Archived Haskell,,,,17,,55.740000000,archived_benchmark
Archived Haskell,,,,17,,54.740000000,archived_benchmark
Archived Haskell,,,,19,,336.200000000,archived_benchmark
Archived Haskell,,,,18,,134.900000000,archived_benchmark
Archived Haskell,,,,16,,53.960000000,archived_benchmark
Archived Haskell,,,,1,,0.146800000,archived_benchmark
Archived Haskell,,,,1,,0.147200000,archived_benchmark
Archived Haskell,,,,21,,270.100000000,archived_benchmark
Archived Haskell,,,,19,,56.220000000,archived_benchmark
Archived Haskell,,,,17,,53.840000000,archived_benchmark
Archived Haskell,,,,63,,6.460000000,archived_benchmark
Archived Haskell,,,,77,,3.451000000,archived_benchmark
Archived Haskell,,,,40,,105.000000000,archived_benchmark
Archived Haskell,,,,29,,86.170000000,archived_benchmark
Archived Haskell,,,,89,,1.360000000,archived_benchmark
Archived Haskell,,,,64,,52.330000000,archived_benchmark
Archived Haskell,,,,58,,1.405000000,archived_benchmark
Archived Haskell,,,,67,,4.851000000,archived_benchmark
Archived Haskell,,,,71,,46.370000000,archived_benchmark
Archived Haskell,,,,66,,4.088000000,archived_benchmark
Archived Haskell,,,,51,,3.149000000,archived_benchmark
Archived Haskell,,,,83,,37.770000000,archived_benchmark
Archived Haskell,,,,37,,2.279000000,archived_benchmark
Archived Haskell,,,,78,,226.800000000,archived_benchmark
Archived Haskell,,,,67,,24.290000000,archived_benchmark
Archived Haskell,,,,29,,0.540800000,archived_benchmark
Archived Haskell,,,,72,,2.782000000,archived_benchmark
Archived Haskell,,,,55,,14.230000000,archived_benchmark
Archived Haskell,,,,33,,0.783700000,archived_benchmark
Archived Haskell,,,,67,,219.500000000,archived_benchmark
Archived Haskell,,,,59,,6.614000000,archived_benchmark
Archived Haskell,,,,25,,4.901000000,archived_benchmark
Archived Haskell,,,,66,,27.150000000,archived_benchmark
