benchmark_name,node_count,runtime_ms
Egg/45,45,212.200000000
Egg/41,41,16.150000000
Egg/34,34,193.600000000
Egg/48,48,717.900000000
Egg/37,37,26.040000000
Egg/45,45,199.100000000
Egg/25,25,117.200000000
Egg/38,38,186.800000000
Egg/41,41,23.130000000
Egg/44,44,51.680000000
Egg/40,40,160.200000000
Egg/25,25,5.692000000
Egg/43,43,92.390000000
Egg/44,44,271.000000000
Egg/32,32,89.710000000
Egg/45,45,35.770000000
Egg/37,37,35.700000000
Egg/45,45,23.800000000
Egg/28,28,4.230000000
Egg/41,41,188.800000000
Egg/41,41,74.220000000
Egg/40,40,15.480000000
Egg/45,45,204.600000000
Egg/33,33,285.500000000
Egg/48,48,30.500000000
Egg/45,45,109.400000000
Egg/43,43,27.120000000
Egg/48,48,65.540000000
Egg/36,36,14.420000000
Egg/48,48,29.450000000
Egg/19,19,442.100000000
Egg/17,17,52.570000000
Egg/17,17,70.240000000
Egg/19,19,243.000000000
Egg/19,19,340.200000000
Egg/19,19,128.100000000
Egg/17,17,53.480000000
Egg/16,16,115.200000000
Egg/19,19,237.200000000
Egg/14,14,47.630000000
Egg/17,17,53.940000000
Egg/20,20,93.280000000
Egg/16,16,129.500000000
Egg/19,19,107.900000000
Egg/19,19,327.000000000
Egg/19,19,317.200000000
Egg/21,21,320.700000000
Egg/21,21,313.500000000
Egg/21,21,123.100000000
Egg/17,17,57.440000000
Egg/17,17,55.740000000
Egg/17,17,54.740000000
Egg/19,19,336.200000000
Egg/18,18,134.900000000
Egg/16,16,53.960000000
Egg/1,1,0.146800000
Egg/1,1,0.147200000
Egg/21,21,270.100000000
Egg/19,19,56.220000000
Egg/17,17,53.840000000
Egg/63,63,6.460000000
Egg/77,77,3.451000000
Egg/40,40,105.000000000
Egg/29,29,86.170000000
Egg/89,89,1.360000000
Egg/64,64,52.330000000
Egg/58,58,1.405000000
Egg/67,67,4.851000000
Egg/71,71,46.370000000
Egg/66,66,4.088000000
Egg/51,51,3.149000000
Egg/83,83,37.770000000
Egg/37,37,2.279000000
Egg/78,78,226.800000000
Egg/67,67,24.290000000
Egg/29,29,0.540800000
Egg/72,72,2.782000000
Egg/55,55,14.230000000
Egg/33,33,0.783700000
Egg/67,67,219.500000000
Egg/59,59,6.614000000
Egg/25,25,4.901000000
Egg/66,66,27.150000000
Egg/43,43,160.500000000
Egg/32,32,2.992000000
Egg/29,29,2.482000000
Egg/85,85,7.570000000
Egg/69,69,13.310000000
Egg/56,56,1.331000000
Egg/32,32,7.101000000
Egg/79,79,13.280000000
Egg/55,55,4.221000000
Egg/89,89,109.200000000
Egg/217,217,410.000000000
Egg/116,116,1039.000000000
Egg/194,194,379.400000000
Egg/142,142,473.500000000
Egg/269,269,380.200000000
Egg/191,191,590.700000000
Egg/191,191,377.100000000
Egg/241,241,440.900000000
Egg/202,202,358.800000000
Egg/223,223,663.900000000
Egg/357,357,531.900000000
Egg/154,154,493.200000000
Egg/134,134,555.700000000
Egg/184,184,329.300000000
Egg/416,416,707.500000000
Egg/129,129,527.900000000
