implementation,algorithm_raw,algorithm,algo_row,node_count,after_nodes,runtime_ms,peak_rss_mb,status
Archived Haskell,na,na,na,45.0,na,212.2,na,archived_benchmark
Archived Haskell,na,na,na,41.0,na,16.15,na,archived_benchmark
Archived Haskell,na,na,na,34.0,na,193.6,na,archived_benchmark
Archived Haskell,na,na,na,48.0,na,717.9,na,archived_benchmark
Archived Haskell,na,na,na,37.0,na,26.04,na,archived_benchmark
Archived Haskell,na,na,na,45.0,na,199.1,na,archived_benchmark
Archived Haskell,na,na,na,25.0,na,117.2,na,archived_benchmark
Archived Haskell,na,na,na,38.0,na,186.8,na,archived_benchmark
Archived Haskell,na,na,na,41.0,na,23.13,na,archived_benchmark
Archived Haskell,na,na,na,44.0,na,51.68,na,archived_benchmark
Archived Haskell,na,na,na,40.0,na,160.2,na,archived_benchmark
Archived Haskell,na,na,na,25.0,na,5.692,na,archived_benchmark
Archived Haskell,na,na,na,43.0,na,92.39,na,archived_benchmark
Archived Haskell,na,na,na,44.0,na,271.0,na,archived_benchmark
Archived Haskell,na,na,na,32.0,na,89.71,na,archived_benchmark
Archived Haskell,na,na,na,45.0,na,35.77,na,archived_benchmark
Archived Haskell,na,na,na,37.0,na,35.7,na,archived_benchmark
Archived Haskell,na,na,na,45.0,na,23.8,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,4.23,na,archived_benchmark
Archived Haskell,na,na,na,41.0,na,188.8,na,archived_benchmark
Archived Haskell,na,na,na,41.0,na,74.22,na,archived_benchmark
Archived Haskell,na,na,na,40.0,na,15.48,na,archived_benchmark
Archived Haskell,na,na,na,45.0,na,204.6,na,archived_benchmark
Archived Haskell,na,na,na,33.0,na,285.5,na,archived_benchmark
Archived Haskell,na,na,na,48.0,na,30.5,na,archived_benchmark
Archived Haskell,na,na,na,45.0,na,109.4,na,archived_benchmark
Archived Haskell,na,na,na,43.0,na,27.12,na,archived_benchmark
Archived Haskell,na,na,na,48.0,na,65.54,na,archived_benchmark
Archived Haskell,na,na,na,36.0,na,14.42,na,archived_benchmark
Archived Haskell,na,na,na,48.0,na,29.45,na,archived_benchmark
Archived Haskell,na,na,na,19.0,na,442.1,na,archived_benchmark
