dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,n_params,n_rank,mode,original_expr,sympy_expr,orig_status,orig_runtime_ms,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_total_size,orig_egraph_nodes,orig_eclass_count,orig_passes,orig_extracted_cost,orig_rendered,sympy_status,sympy_runtime_ms,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,sympy_total_size,sympy_egraph_nodes,sympy_eclass_count,sympy_passes,sympy_extracted_cost,sympy_rendered
pagie,0,Bingo,Bingo,1,1,kept,6.0,4.0,egglog-baseline,0.5240322255066139 + (-0.45351118068033663)*(plog(-54.93119319072758 + (755.3723998652232)*((plog((-2)*((x0)*((x1)^(-1))) + (-66438756992.645454)*((x0)*(x1))))^(-1)) + plog((-2)*((x0)*((x1)^(-1))) + (-66438756992.645454)*((x0)*(x1))))),(0.5240322255066139) + ((-0.45351118068033663) * (log(abs((log(abs((x0) * (((-2.0) * ((x1)^(-1))) + ((x1) * (-6.6438756992645454e10)))))) + ((-54.93119319072758) + ((755.3723998652232) * ((log(abs((x0) * (((-2.0) * ((x1)^(-1))) + ((x1) * (-6.6438756992645454e10))))))^(-1)))))))),saturated,261.097750,43,8,39,8,62,71,45,2,100,(0.5240322255066139 + (-0.45351118068033663 * log(abs(((-54.93119319072758 + (755.3723998652232 * (log(abs((x0 * ((-2.0 * (x1 ** -1.0)) + (-66438756992.645454 * x1))))) ** -1.0))) + log(abs((x0 * ((-2.0 * (x1 ** -1.0)) + (-66438756992.645454 * x1)))))))))),saturated,164.087375,39,8,39,8,62,71,45,1,100,(0.5240322255066139 + (-0.45351118068033663 * log(abs((log(abs((x0 * ((-2.0 * (x1 ** -1.0)) + (x1 * -66438756992.645454))))) + (-54.93119319072758 + (755.3723998652232 * (log(abs((x0 * ((-2.0 * (x1 ** -1.0)) + (x1 * -66438756992.645454))))) ** -1.0))))))))
pagie,0,Bingo,Bingo,1,1,kept,6.0,4.0,egglog-height-guard,0.5240322255066139 + (-0.45351118068033663)*(plog(-54.93119319072758 + (755.3723998652232)*((plog((-2)*((x0)*((x1)^(-1))) + (-66438756992.645454)*((x0)*(x1))))^(-1)) + plog((-2)*((x0)*((x1)^(-1))) + (-66438756992.645454)*((x0)*(x1))))),(0.5240322255066139) + ((-0.45351118068033663) * (log(abs((log(abs((x0) * (((-2.0) * ((x1)^(-1))) + ((x1) * (-6.6438756992645454e10)))))) + ((-54.93119319072758) + ((755.3723998652232) * ((log(abs((x0) * (((-2.0) * ((x1)^(-1))) + ((x1) * (-6.6438756992645454e10))))))^(-1)))))))),saturated,210.283750,43,8,39,8,76,111,69,2,100,(0.5240322255066139 + (-0.45351118068033663 * log(abs(((-54.93119319072758 + (755.3723998652232 * (log(abs((x0 * ((-2.0 * (x1 ** -1.0)) + (-66438756992.645454 * x1))))) ** -1.0))) + log(abs((x0 * ((-2.0 * (x1 ** -1.0)) + (-66438756992.645454 * x1)))))))))),saturated,184.664167,39,8,39,8,76,111,69,1,100,(0.5240322255066139 + (-0.45351118068033663 * log(abs((log(abs((x0 * ((-2.0 * (x1 ** -1.0)) + (x1 * -66438756992.645454))))) + (-54.93119319072758 + (755.3723998652232 * (log(abs((x0 * ((-2.0 * (x1 ** -1.0)) + (x1 * -66438756992.645454))))) ** -1.0))))))))
pagie,1,Bingo,Bingo,2,1,kept,4.0,4.0,egglog-baseline,0.04547093390683249 + (0.17516554602688977)*(plog((34.093055726490284)*((x0)*(x0)) + x1 + (-428.9738000218307)*(((x0)*(x0))*((x1)*(x1))))),(4.547093390683249e-2) + ((0.17516554602688977) * (log(abs((x1) + ((x0) * ((x0) * ((34.093055726490284) + ((-428.9738000218307) * ((x1) * (x1)))))))))),saturated,174.528542,23,4,19,4,41,47,29,2,44,(0.04547093390683249 + (0.17516554602688977 * log(abs((((x0 * x0) * ((-428.9738000218307 * (x1 * x1)) + 34.093055726490284)) + x1))))),saturated,164.463250,19,4,19,4,41,47,29,1,44,(0.04547093390683249 + (0.17516554602688977 * log(abs((x1 + (x0 * (x0 * (34.093055726490284 + (-428.9738000218307 * (x1 * x1))))))))))
pagie,1,Bingo,Bingo,2,1,kept,4.0,4.0,egglog-height-guard,0.04547093390683249 + (0.17516554602688977)*(plog((34.093055726490284)*((x0)*(x0)) + x1 + (-428.9738000218307)*(((x0)*(x0))*((x1)*(x1))))),(4.547093390683249e-2) + ((0.17516554602688977) * (log(abs((x1) + ((x0) * ((x0) * ((34.093055726490284) + ((-428.9738000218307) * ((x1) * (x1)))))))))),saturated,205.291375,23,4,19,4,58,82,47,2,44,(0.04547093390683249 + (0.17516554602688977 * log(abs((((x0 * x0) * ((-428.9738000218307 * (x1 * x1)) + 34.093055726490284)) + x1))))),saturated,177.056500,19,4,19,4,57,81,47,1,44,(0.04547093390683249 + (0.17516554602688977 * log(abs((x1 + (x0 * (x0 * (34.093055726490284 + (-428.9738000218307 * (x1 * x1))))))))))
pagie,2,Bingo,Bingo,3,1,kept,5.0,5.0,egglog-baseline,((plog(1 - ((-4.620613175155346)*(-4.620613175155346))))^(-1))*(plog(1 + ((-0.7045923450774843)^(-1))*((x1)*(x0 + ((-4.620613175155346)*(-4.620613175155346) - (-0.7045923450774843))*(x0) + plog(-0.5941007048060543 + x0))) - (x0))),(0.331885850726245) * (log(abs(((1.0) + ((-1.4192603808235096) * ((x1) * (((x0) + ((x0) * (22.05465845949665))) + (log(abs((x0) + (-0.5941007048060543)))))))) - (x0)))),saturated,174.956959,37,9,25,5,61,69,41,2,60,(0.331885850726245 * log(abs(((1.0 + ((-0.7045923450774843 ** -1.0) * (x1 * ((x0 + (22.05465845949665 * x0)) + log(abs((-0.5941007048060543 + x0))))))) - x0)))),saturated,162.071625,23,5,23,5,57,64,37,1,53,(0.331885850726245 * log(abs(((1.0 + (-1.4192603808235096 * (x1 * ((x0 + (x0 * 22.05465845949665)) + log(abs((x0 + -0.5941007048060543))))))) - x0))))
pagie,2,Bingo,Bingo,3,1,kept,5.0,5.0,egglog-height-guard,((plog(1 - ((-4.620613175155346)*(-4.620613175155346))))^(-1))*(plog(1 + ((-0.7045923450774843)^(-1))*((x1)*(x0 + ((-4.620613175155346)*(-4.620613175155346) - (-0.7045923450774843))*(x0) + plog(-0.5941007048060543 + x0))) - (x0))),(0.331885850726245) * (log(abs(((1.0) + ((-1.4192603808235096) * ((x1) * (((x0) + ((x0) * (22.05465845949665))) + (log(abs((x0) + (-0.5941007048060543)))))))) - (x0)))),saturated,219.464708,37,9,25,5,86,120,67,2,60,(0.331885850726245 * log(abs(((1.0 + ((-0.7045923450774843 ** -1.0) * (x1 * ((x0 + (22.05465845949665 * x0)) + log(abs((-0.5941007048060543 + x0))))))) - x0)))),saturated,213.242791,23,5,23,5,80,111,61,1,53,(0.331885850726245 * log(abs(((1.0 + (-1.4192603808235096 * (x1 * ((x0 + (x0 * 22.05465845949665)) + log(abs((x0 + -0.5941007048060543))))))) - x0))))
pagie,3,Bingo,Bingo,4,1,kept,9.0,6.0,egglog-baseline,(321.50462762611204)*((((-2588.281378882496)^(-1))*((x0)*(x1)) + plog((3323.2144588507704)*((x0)*(x1))) - (3.834139037636267))*(((((-2588.281378882496)^(-1))*((x0)*(x1)) + plog((3323.2144588507704)*((x0)*(x1))) - (-2588.281378882496 + 3.834139037636267 + plog(-2588.281378882496)))^(-1))*(plog(plog((3323.2144588507704)*((x0)*(x1))))))),(321.50462762611204) * (((((-3.8635675709715734e-4) * ((x0) * (x1))) + (log(abs(((x0) * (x1)) * (3323.2144588507704))))) - (3.834139037636267)) * ((((((-3.8635675709715734e-4) * ((x0) * (x1))) + (log(abs(((x0) * (x1)) * (3323.2144588507704))))) - (-2576.588490470697))^(-1)) * (log(abs(log(abs(((x0) * (x1)) * (3323.2144588507704)))))))),saturated,200.028250,55,10,49,8,138,147,61,2,114,(321.50462762611204 * (((((-2588.281378882496 ** -1.0) * (x0 * x1)) + log(abs((3323.2144588507704 * (x0 * x1))))) - 3.834139037636267) * ((((((-2588.281378882496 ** -1.0) * (x0 * x1)) + log(abs((3323.2144588507704 * (x0 * x1))))) - -2576.588490470697) ** -1.0) * log(abs(log(abs((3323.2144588507704 * (x0 * x1))))))))),saturated,165.126000,45,8,45,8,137,146,60,1,100,(321.50462762611204 * ((((-0.00038635675709715734 * (x0 * x1)) + log(abs(((x0 * x1) * 3323.2144588507704)))) - 3.834139037636267) * (((((-0.00038635675709715734 * (x0 * x1)) + log(abs(((x0 * x1) * 3323.2144588507704)))) - -2576.588490470697) ** -1.0) * log(abs(log(abs(((x0 * x1) * 3323.2144588507704))))))))
pagie,3,Bingo,Bingo,4,1,kept,9.0,6.0,egglog-height-guard,(321.50462762611204)*((((-2588.281378882496)^(-1))*((x0)*(x1)) + plog((3323.2144588507704)*((x0)*(x1))) - (3.834139037636267))*(((((-2588.281378882496)^(-1))*((x0)*(x1)) + plog((3323.2144588507704)*((x0)*(x1))) - (-2588.281378882496 + 3.834139037636267 + plog(-2588.281378882496)))^(-1))*(plog(plog((3323.2144588507704)*((x0)*(x1))))))),(321.50462762611204) * (((((-3.8635675709715734e-4) * ((x0) * (x1))) + (log(abs(((x0) * (x1)) * (3323.2144588507704))))) - (3.834139037636267)) * ((((((-3.8635675709715734e-4) * ((x0) * (x1))) + (log(abs(((x0) * (x1)) * (3323.2144588507704))))) - (-2576.588490470697))^(-1)) * (log(abs(log(abs(((x0) * (x1)) * (3323.2144588507704)))))))),timeout,5000.000000,na,na,na,na,na,na,na,na,na,timeout,timeout,5000.000000,na,na,na,na,na,na,na,na,na,timeout
pagie,4,Bingo,Bingo,5,1,kept,3.0,3.0,egglog-baseline,-0.7617093798419142 + (0.3424256684358176)*(plog((x1)*((249.92555522398015)*(x0) + ((x1)^(-2))*(plog(x0)) - (x0 + x1)))),(-0.7617093798419142) + ((0.3424256684358176) * (log(abs((x1) * ((((249.92555522398015) * (x0)) + (((x1)^(-2)) * (log(abs(x0))))) - ((x1) + (x0))))))),saturated,198.214666,23,3,23,3,45,51,34,1,49,(-0.7617093798419142 + (0.3424256684358176 * log(abs((x1 * (((249.92555522398015 * x0) + ((x1 ** -2.0) * log(abs(x0)))) - (x0 + x1))))))),saturated,164.300125,23,3,23,3,45,51,34,1,49,(-0.7617093798419142 + (0.3424256684358176 * log(abs((x1 * (((249.92555522398015 * x0) + ((x1 ** -2.0) * log(abs(x0)))) - (x1 + x0)))))))
pagie,4,Bingo,Bingo,5,1,kept,3.0,3.0,egglog-height-guard,-0.7617093798419142 + (0.3424256684358176)*(plog((x1)*((249.92555522398015)*(x0) + ((x1)^(-2))*(plog(x0)) - (x0 + x1)))),(-0.7617093798419142) + ((0.3424256684358176) * (log(abs((x1) * ((((249.92555522398015) * (x0)) + (((x1)^(-2)) * (log(abs(x0))))) - ((x1) + (x0))))))),saturated,185.351458,23,3,23,3,66,95,57,1,49,(-0.7617093798419142 + (0.3424256684358176 * log(abs((x1 * (((249.92555522398015 * x0) + ((x1 ** -2.0) * log(abs(x0)))) - (x0 + x1))))))),saturated,183.058542,23,3,23,3,66,95,57,1,49,(-0.7617093798419142 + (0.3424256684358176 * log(abs((x1 * (((249.92555522398015 * x0) + ((x1 ** -2.0) * log(abs(x0)))) - (x1 + x0)))))))
