row,egglog_status,egglog_numeric_status,haskell_status,egglog_runtime_s,haskell_runtime_s,egglog_before_params,egglog_after_params,haskell_before_params,haskell_after_params,optimal_params,egglog_gap_to_optimal,haskell_gap_to_optimal,egglog_total_size,egglog_node_count,egglog_eclass_count,haskell_after_nodes,input_expr,egglog_output,haskell_output
1,saturated,ok,ok,0.024019,0.001530,2,2,2,2,2,0,0,25,30,19,7,sqr(-9.29438919215253 + 2.93547417364396 * theta),((-9.29438919215253 + (2.93547417364396 * theta)) ** 2.0),"(-9.29438919215253 + (2.93547417364396 * x[:, 2])) ** 2.0"
2,saturated,ok,ok,0.024987,0.045319,21,18,21,18,21,-3,-3,174,197,110,65,(((2.91970418475328 + -0.773583225885789 * theta) * 2.87230609775115 * theta + (-1.22356797479824 + 0.377885426397629 * theta) * (10.3917281470804 - -1.20862070725184 * alpha)) * (0.114247677264604 * alpha + 0.127799885276295 * beta) * (3.60250727355285 * beta + 1.35381696253641 * theta - 9.60356246300082 * alpha) - (sqr(-9.29438919215253 + 2.93547417364396 * theta) + (-1.31893797108115 * beta + 2.10814063839763 * alpha) - 5.16995214427275 * alpha) * (1.25099225339683 * alpha + -1.0075335593301 * beta)) * 0.227993040492379 + 1.72695871415228,(((((((((theta + -3.7742599465107096) * -2.221967816829757) * theta) + ((theta + -3.237933747438949) * ((alpha + 8.598006045013987) * 0.45672015131286553))) * ((0.114247677264604 * alpha) + (0.127799885276295 * beta))) * (((3.60250727355285 * beta) + (1.35381696253641 * theta)) + (-9.60356246300082 * alpha))) - ((((-1.31893797108115 * beta) + ((-9.29438919215253 + (2.93547417364396 * theta)) ** 2.0)) + (alpha * -3.0618115058751196)) * ((1.25099225339683 * alpha) + (-1.0075335593301 * beta)))) * 0.227993040492379) + 1.72695871415228),"((((((x[:, 2] * ((x[:, 2] + -3.7742599465107096) * -2.221967816829757)) + ((x[:, 0] + 8.598006045013985) * ((x[:, 2] + -3.237933747438949) * 0.45672015131286553))) * (((x[:, 0] * 0.114247677264604) + (0.127799885276295 * x[:, 1])) * (((x[:, 1] * 3.60250727355285) + (x[:, 2] * 1.35381696253641)) - (x[:, 0] * 9.60356246300082)))) - ((((-9.29438919215253 + (x[:, 2] * 2.93547417364396)) ** 2.0 + (x[:, 1] * -1.31893797108115)) + (x[:, 0] * -3.0618115058751196)) * ((x[:, 0] * 1.25099225339683) + (x[:, 1] * -1.0075335593301)))) * 0.227993040492379) + 1.72695871415228)"
3,saturated,ok,ok,0.026963,0.192393,19,17,19,17,19,-2,-2,226,252,125,60,(((2.78948361720301 + -0.603311011990701 * theta) * 2.66295898187985 * theta + (-1.70053796438431 + 0.354410284952137 * theta) * (2.30920195902924 * alpha + -0.684514001199842 * beta)) * (-0.423113013561051 * alpha + -0.820293590903207 * beta) * exp(0.648433111594964 * alpha) - (4.84782777418965 * alpha + -10.2013161038227 * beta + (4.49181352322002 + 3.34338756313595 * theta) - 1.52463076043089 * alpha) * sqr(-4.40371470183112 + 1.239832234323 * theta)) * 0.0555952399242293 + 2.3974618452108,(((((((((theta + -4.623624568029607) * -1.6065924782476593) * theta) + ((-1.70053796438431 + (0.354410284952137 * theta)) * ((2.30920195902924 * alpha) + (-0.684514001199842 * beta)))) * ((-0.423113013561051 * alpha) + (-0.820293590903207 * beta))) * exp((0.648433111594964 * alpha))) - ((((-10.2013161038227 * beta) + (4.49181352322002 + (3.34338756313595 * theta))) + (alpha * 3.32319701375876)) * ((-4.40371470183112 + (1.239832234323 * theta)) ** 2.0))) * 0.0555952399242293) + 2.3974618452108),"((((((x[:, 2] * ((x[:, 2] + -4.623624568029607) * -1.6065924782476593)) + ((-1.70053796438431 + (x[:, 2] * 0.354410284952137)) * ((2.30920195902924 * x[:, 0]) + (-0.684514001199842 * x[:, 1])))) * (((x[:, 0] * -0.423113013561051) + (x[:, 1] * -0.820293590903207)) * np.exp((x[:, 0] * 0.648433111594964)))) - (((x[:, 1] * -10.2013161038227) + ((4.49181352322002 + (x[:, 2] * 3.34338756313595)) + (x[:, 0] * 3.32319701375876))) * (-4.40371470183112 + (x[:, 2] * 1.239832234323)) ** 2.0)) * 5.55952399242293e-2) + 2.3974618452108)"
4,saturated,ok,ok,0.026624,0.061409,19,16,19,16,19,-3,-3,201,223,109,56,(((2.84721301451649 + -1.0832466055762 * theta) * 2.87288386010019 * theta + (-0.960822430613027 + 0.352212452215726 * theta) * (9.49502848514098 - -4.43457932618305 * alpha)) * (0.0231254136991372 * alpha + -0.201859225439622 * beta) * exp(0.533684665488698 * alpha) - (4.3709278998084 * alpha + 0.0676271161563555 * beta + (-10.1636621343434 + 2.20402481737344 * theta) - 2.00153063481211 * alpha) * (-0.173514070270718 * alpha + 1.4309773332239 * beta)) * 0.418278900765285 + -0.250852384709946,(((((((((theta + -2.628407049567445) * -3.1120416896681817) * theta) + ((theta + -2.7279626957213154) * ((alpha + 2.1411339806415373) * 1.5619140590200937))) * ((0.0231254136991372 * alpha) + (-0.201859225439622 * beta))) * exp((0.533684665488698 * alpha))) - ((((0.0676271161563555 * beta) + (-10.1636621343434 + (2.20402481737344 * theta))) + (alpha * 2.3693972649962904)) * ((-0.173514070270718 * alpha) + (1.4309773332239 * beta)))) * 0.418278900765285) + -0.250852384709946),"((((((x[:, 2] * ((x[:, 2] + -2.628407049567445) * -3.1120416896681817)) + ((x[:, 0] + 2.1411339806415373) * ((x[:, 2] + -2.7279626957213154) * 1.5619140590200937))) * (((x[:, 0] * 2.31254136991372e-2) + (-0.201859225439622 * x[:, 1])) * np.exp((x[:, 0] * 0.533684665488698)))) - (((x[:, 1] * 6.76271161563555e-2) + ((-10.1636621343434 + (x[:, 2] * 2.20402481737344)) + (x[:, 0] * 2.3693972649962904))) * ((x[:, 0] * -0.173514070270718) + (x[:, 1] * 1.4309773332239)))) * 0.418278900765285) + -0.250852384709946)"
5,saturated,ok,ok,0.023930,0.203511,15,15,15,14,15,0,-1,218,239,108,52,(2.98279150112649 - 2.50335104760053 * alpha + exp(0.472180751947384 * alpha) + (-5.46511983933291 * alpha + 4.7308388959051 * beta + sqr(1.9820027542127 * alpha + -0.507993116540432 * beta) + -0.902691894725103 * theta) * (sqr(-9.71025706279119 + 3.06939441276146 * theta) + -12.1940251737044) * (-0.00113611973003391 * alpha + 0.0069224336526928 * beta)) * 1.38844130555412 + 0.330982870226231,(((((2.98279150112649 + (-2.50335104760053 * alpha)) + exp((0.472180751947384 * alpha))) + ((((((-5.46511983933291 * alpha) + (4.7308388959051 * beta)) + (((1.9820027542127 * alpha) + (-0.507993116540432 * beta)) ** 2.0)) + (-0.902691894725103 * theta)) * (((-9.71025706279119 + (3.06939441276146 * theta)) ** 2.0) + -12.1940251737044)) * ((-0.00113611973003391 * alpha) + (0.0069224336526928 * beta)))) * 1.38844130555412) + 0.330982870226231),"(1.38844130555412 * ((np.exp((x[:, 0] * 0.472180751947384)) + (x[:, 0] * -2.50335104760053)) + (((((((x[:, 0] * -5.46511983933291) + (4.7308388959051 * x[:, 1])) + ((x[:, 0] * 1.9820027542127) + (x[:, 1] * -0.507993116540432)) ** 2.0) + (-0.902691894725103 * x[:, 2])) * ((-9.71025706279119 + (x[:, 2] * 3.06939441276146)) ** 2.0 + -12.1940251737044)) * ((x[:, 0] * -1.13611973003391e-3) + (x[:, 1] * 6.9224336526928e-3))) + 3.2211759894748377)))"
6,saturated,ok,ok,0.024536,0.245653,15,13,15,13,15,-2,-2,129,147,83,46,((-0.316837298249729 * theta * 3.05465811567978 * theta + (-0.889841755712075 + 0.578002976501013 * theta) * (10.6137030960787 - -0.00245156905492306 * alpha)) * (0.14725690713022 * alpha + -1.14882597252181 * beta) * exp(0.568774671653501 * alpha) - (8.71499862176732 - 4.81545526290782 * alpha) * (0.154635921121002 * alpha + -1.07656735891341 * beta)) * 0.224175810902549 + -0.260446684460903,((((((((theta * -0.9678296244485897) * theta) + ((theta + -1.5395106805483996) * ((alpha + 4329.351063868687) * 0.0014170142108433038))) * ((0.14725690713022 * alpha) + (-1.14882597252181 * beta))) * exp((0.568774671653501 * alpha))) - ((8.71499862176732 + (-4.81545526290782 * alpha)) * ((0.154635921121002 * alpha) + (-1.07656735891341 * beta)))) * 0.224175810902549) + -0.260446684460903),"((((((x[:, 2] * (x[:, 2] * -0.9678296244485897)) + ((x[:, 0] + 4329.351063868687) * ((x[:, 2] + -1.5395106805483996) * 1.4170142108433038e-3))) * (((x[:, 0] * 0.14725690713022) + (-1.14882597252181 * x[:, 1])) * np.exp((x[:, 0] * 0.568774671653501)))) + (((x[:, 0] * 0.154635921121002) + (x[:, 1] * -1.07656735891341)) * ((x[:, 0] * 4.81545526290782) + -8.71499862176732))) * 0.224175810902549) + -0.260446684460903)"
7,saturated,ok,ok,0.022719,0.025992,13,11,13,11,13,-2,-2,101,115,65,38,(((3.18543575971207 + -0.501220093685171 * theta) * 3.02569851454319 * theta + (-0.566030419117259 + -0.00141033270775341 * theta) * (10.2119668475764 - -2.30541936401332 * alpha)) * (0.0102053525476381 * alpha + -0.0910150988828783 * beta) * exp(0.554402229807378 * alpha) + 1.72087790758212 * beta) * 1.83963949682553 + -1.25596735529036,(((((((((theta + -6.355363242306329) * -1.5165408929224202) * theta) + ((theta + 401.34531093653595) * ((alpha + 4.429548483447803) * -0.00325140833415605))) * ((0.0102053525476381 * alpha) + (-0.0910150988828783 * beta))) * exp((0.554402229807378 * alpha))) + (1.72087790758212 * beta)) * 1.83963949682553) + -1.25596735529036),"((((((x[:, 2] * ((x[:, 2] + -6.355363242306329) * -1.5165408929224202)) + ((x[:, 0] + 4.429548483447803) * ((x[:, 2] + 401.34531093653595) * -3.25140833415605e-3))) * (((x[:, 0] * 1.02053525476381e-2) + (-9.10150988828783e-2 * x[:, 1])) * np.exp((x[:, 0] * 0.554402229807378)))) + (x[:, 1] * 1.72087790758212)) * 1.83963949682553) + -1.25596735529036)"
8,saturated,ok,ok,0.012256,0.003641,11,11,11,11,11,0,0,104,120,71,39,(exp(-0.794917654509967 * alpha) + (2.29921329813365 * alpha + 4.51415855350697 * beta + exp(0.946177763420462 * alpha)) * (sqr(-10.0038726352579 + 3.13970579504056 * theta) + -12.0652156463205) * (-2.02808849752755e-05 * alpha + 0.000340566266801934 * beta)) * 8.92102627370909 + -0.955557096566096,(((exp((-0.794917654509967 * alpha)) + (((((2.29921329813365 * alpha) + (4.51415855350697 * beta)) + exp((0.946177763420462 * alpha))) * (((-10.0038726352579 + (3.13970579504056 * theta)) ** 2.0) + -12.0652156463205)) * ((-2.02808849752755e-05 * alpha) + (0.000340566266801934 * beta)))) * 8.92102627370909) + -0.955557096566096),"(((np.exp((-0.794917654509967 * x[:, 0])) + (((((x[:, 0] * 2.29921329813365) + (4.51415855350697 * x[:, 1])) + np.exp((x[:, 0] * 0.946177763420462))) * ((-10.0038726352579 + (3.13970579504056 * x[:, 2])) ** 2.0 + -12.0652156463205)) * ((x[:, 0] * -2.02808849752755e-5) + (x[:, 1] * 3.40566266801934e-4)))) * 8.92102627370909) + -0.955557096566096)"
9,saturated,ok,ok,0.012265,0.004881,11,11,11,11,11,0,0,103,119,70,38,(-3.96681243171082 * alpha + (2.52592419293647 * alpha + 5.03511788447547 * beta + exp(0.945464373359296 * alpha)) * (sqr(-10.0118176770295 + 3.13685930139353 * theta) + -12.0608666660913) * (-0.000786648253917827 * alpha + 0.0140387916137021 * beta)) * 0.203839527417986 + 2.5783920404532,((((-3.96681243171082 * alpha) + (((((2.52592419293647 * alpha) + (5.03511788447547 * beta)) + exp((0.945464373359296 * alpha))) * (((-10.0118176770295 + (3.13685930139353 * theta)) ** 2.0) + -12.0608666660913)) * ((-0.000786648253917827 * alpha) + (0.0140387916137021 * beta)))) * 0.203839527417986) + 2.5783920404532),"((((-3.96681243171082 * x[:, 0]) + (((((x[:, 0] * 2.52592419293647) + (5.03511788447547 * x[:, 1])) + np.exp((x[:, 0] * 0.945464373359296))) * ((-10.0118176770295 + (3.13685930139353 * x[:, 2])) ** 2.0 + -12.0608666660913)) * ((x[:, 0] * -7.86648253917827e-4) + (x[:, 1] * 1.40387916137021e-2)))) * 0.203839527417986) + 2.5783920404532)"
10,saturated,ok,ok,0.012146,0.004133,9,9,9,9,9,0,0,81,95,58,30,(-4.0257291259403 * alpha + exp(0.496521530470785 * alpha) * (sqr(-9.90385501742711 + 3.09891553397754 * theta) + -12.0313313266527) * (-0.0209790347331461 * alpha + 0.15542475900314 * beta)) * 0.218016003919151 + 2.93075744602469,((((-4.0257291259403 * alpha) + ((exp((0.496521530470785 * alpha)) * (((-9.90385501742711 + (3.09891553397754 * theta)) ** 2.0) + -12.0313313266527)) * ((-0.0209790347331461 * alpha) + (0.15542475900314 * beta)))) * 0.218016003919151) + 2.93075744602469),"((((-4.0257291259403 * x[:, 0]) + ((np.exp((x[:, 0] * 0.496521530470785)) * ((-9.90385501742711 + (3.09891553397754 * x[:, 2])) ** 2.0 + -12.0313313266527)) * ((x[:, 0] * -2.09790347331461e-2) + (0.15542475900314 * x[:, 1])))) * 0.218016003919151) + 2.93075744602469)"
